bigram,frequency
"е""""",0.0182
"""""п",0.0170
"и""""",0.0158
"а""""",0.0147
"""""с",0.0142
ст,0.0139
"""""в",0.0133
"о""""",0.0126
ра,0.0123
"я""""",0.0121
"""""о",0.0121
"""""н",0.0108
ов,0.0105
на,0.0100
но,0.0099
ен,0.0099
"""""и",0.0099
"й""""",0.0098
то,0.0095
ни,0.0094
по,0.0088
"м""""",0.0087
ал,0.0084
"""""к",0.0081
ва,0.0075
ро,0.0074
ка,0.0074
го,0.0072
ти,0.0071
"ь""""",0.0071
об,0.0070
не,0.0070
"""""р",0.0070
аз,0.0069
ло,0.0069
ос,0.0068
ор,0.0067
ла,0.0066
ко,0.0064
"""""м",0.0064
во,0.0064
те,0.0063
пр,0.0062
от,0.0061
ет,0.0061
ол,0.0059
за,0.0059
ес,0.0059
ой,0.0058
ан,0.0058
"т""""",0.0057
"у""""",0.0056
ли,0.0055
ре,0.0055
ны,0.0054
ер,0.0053
"в""""",0.0053
он,0.0052
нн,0.0051
"""""з",0.0048
ом,0.0048
ри,0.0048
"х""""",0.0047
ав,0.0047
ие,0.0046
ве,0.0045
од,0.0045
ле,0.0044
ия,0.0043
ив,0.0043
мо,0.0043
"""""т",0.0042
де,0.0042
ая,0.0041
че,0.0041
ас,0.0041
ль,0.0041
ел,0.0040
"""""г",0.0039
"""""б",0.0039
ил,0.0039
"ы""""",0.0039
"""""д",0.0038
ит,0.0038
та,0.0036
"с""""",0.0036
ем,0.0036
"л""""",0.0036
ат,0.0035
вы,0.0035
со,0.0035
ть,0.0035
ви,0.0034
ак,0.0034
ин,0.0034
ше,0.0033
"""""у",0.0033
"к""""",0.0032
ск,0.0031
вн,0.0031
ру,0.0031
"""""а",0.0031
"н""""",0.0031
"""""е",0.0030
ми,0.0030
ок,0.0030
му,0.0030
же,0.0030
ма,0.0030
ки,0.0030
ог,0.0030
бо,0.0030
ши,0.0029
ня,0.0029
"ю""""",0.0029
тв,0.0029
сп,0.0029
вл,0.0028
да,0.0028
"""""ч",0.0028
пе,0.0028
сл,0.0027
им,0.0027
се,0.0027
ег,0.0026
бе,0.0026
сь,0.0026
ед,0.0026
ам,0.0025
зв,0.0025
вс,0.0025
до,0.0025
ей,0.0025
ис,0.0024
бр,0.0024
"""""э",0.0024
ых,0.0024
ир,0.0023
ме,0.0023
ди,0.0023
ци,0.0022
еч,0.0022
ае,0.0022
бы,0.0022
аж,0.0022
тр,0.0021
ьк,0.0021
уч,0.0021
кр,0.0021
аб,0.0020
ту,0.0020
ее,0.0020
ид,0.0020
па,0.0020
ьн,0.0020
из,0.0019
ии,0.0019
бу,0.0019
"""""ф",0.0019
эт,0.0019
ий,0.0018
ну,0.0018
нь,0.0018
си,0.0018
ад,0.0018
"""""ш",0.0018
чт,0.0017
ча,0.0017
уг,0.0017
кн,0.0017
ье,0.0017
др,0.0016
фо,0.0016
кт,0.0016
ую,0.0016
рм,0.0016
ля,0.0016
ож,0.0016
их,0.0016
хо,0.0016
"""""л",0.0016
зн,0.0016
ац,0.0015
ый,0.0015
вш,0.0015
ое,0.0015
ик,0.0014
ые,0.0014
уш,0.0014
ех,0.0014
ша,0.0014
ги,0.0014
ся,0.0014
ар,0.0014
ач,0.0013
ят,0.0013
гр,0.0013
ха,0.0013
ыв,0.0013
ев,0.0013
чи,0.0013
ош,0.0013
шк,0.0013
га,0.0013
ке,0.0013
оз,0.0013
дн,0.0012
ря,0.0012
дл,0.0012
ым,0.0012
мн,0.0012
оп,0.0012
ыл,0.0012
"""""х",0.0011
ур,0.0011
"р""""",0.0011
оч,0.0011
тс,0.0011
яс,0.0011
нт,0.0011
лу,0.0011
уж,0.0011
яд,0.0011
тн,0.0011
пл,0.0011
чн,0.0010
ук,0.0010
жи,0.0010
щи,0.0010
су,0.0010
св,0.0010
ич,0.0010
яг,0.0010
ыс,0.0010
зо,0.0010
ры,0.0010
ты,0.0010
жа,0.0010
ву,0.0009
са,0.0009
уд,0.0009
жн,0.0009
нс,0.0009
ба,0.0009
гу,0.0009
сс,0.0009
гд,0.0008
"""""ж",0.0008
гл,0.0008
пь,0.0008
зд,0.0008
ду,0.0008
тя,0.0008
оо,0.0008
ез,0.0008
лю,0.0008
ще,0.0008
жд,0.0008
еп,0.0008
тк,0.0008
яз,0.0008
ец,0.0007
мы,0.0007
ея,0.0007
зя,0.0007
ям,0.0007
лс,0.0007
лы,0.0007
зг,0.0007
дк,0.0007
иц,0.0007
еб,0.0007
ах,0.0007
иг,0.0007
уе,0.0007
ус,0.0007
рн,0.0006
йт,0.0006
зи,0.0006
еа,0.0006
ул,0.0006
ум,0.0006
сш,0.0006
сн,0.0006
рт,0.0006
зы,0.0006
лн,0.0006
яе,0.0006
"""""я",0.0006
ек,0.0006
йн,0.0006
см,0.0006
кж,0.0005
аш,0.0005
иж,0.0005
ио,0.0005
це,0.0005
ап,0.0005
бл,0.0005
вь,0.0005
ды,0.0005
иа,0.0005
аг,0.0005
йс,0.0005
ьт,0.0005
пу,0.0005
вк,0.0005
ою,0.0005
оя,0.0005
ащ,0.0005
шл,0.0005
рг,0.0005
ку,0.0005
бс,0.0004
пи,0.0004
ущ,0.0004
