bigram,frequency
ст,0.0164
ра,0.0142
ов,0.0138
ен,0.0133
но,0.0120
на,0.0117
то,0.0112
ни,0.0110
по,0.0102
ал,0.0099
ес,0.0097
ос,0.0092
ка,0.0089
го,0.0086
ва,0.0086
ро,0.0085
ор,0.0084
ти,0.0084
во,0.0082
об,0.0082
ло,0.0082
аз,0.0082
ан,0.0081
не,0.0080
ла,0.0078
от,0.0078
ко,0.0077
те,0.0075
ер,0.0075
ет,0.0074
он,0.0073
ол,0.0073
пр,0.0073
ив,0.0068
за,0.0068
ой,0.0067
ав,0.0067
нн,0.0066
ли,0.0066
ом,0.0065
ре,0.0065
ны,0.0063
мо,0.0063
ас,0.0063
од,0.0057
ри,0.0056
ие,0.0056
ин,0.0055
ве,0.0054
ия,0.0053
ем,0.0053
ел,0.0052
ат,0.0051
ле,0.0051
ая,0.0050
ис,0.0050
че,0.0049
де,0.0048
ит,0.0048
ль,0.0047
ак,0.0046
тв,0.0046
им,0.0045
ил,0.0044
та,0.0043
ир,0.0043
ми,0.0042
ви,0.0042
со,0.0041
вы,0.0041
ть,0.0041
ев,0.0041
вн,0.0039
ог,0.0039
ма,0.0038
ше,0.0038
ок,0.0038
ед,0.0037
ру,0.0036
ки,0.0035
ня,0.0035
ег,0.0035
же,0.0035
вс,0.0035
ии,0.0035
сп,0.0034
бо,0.0034
му,0.0034
ск,0.0034
еп,0.0034
вл,0.0034
ши,0.0033
пе,0.0033
оп,0.0033
се,0.0033
ап,0.0033
ьк,0.0033
ае,0.0033
ам,0.0032
да,0.0032
сл,0.0031
аб,0.0031
бе,0.0031
зв,0.0031
сь,0.0030
оо,0.0030
яс,0.0030
ей,0.0029
до,0.0029
бр,0.0029
ди,0.0028
ме,0.0028
ее,0.0028
ид,0.0028
ьн,0.0028
ио,0.0027
ту,0.0027
ых,0.0027
уч,0.0026
ад,0.0026
еч,0.0026
ар,0.0026
ци,0.0026
бы,0.0025
аж,0.0025
тр,0.0025
ое,0.0024
кр,0.0024
эт,0.0023
як,0.0023
па,0.0023
си,0.0023
бу,0.0023
ип,0.0022
оз,0.0022
из,0.0022
ук,0.0022
чт,0.0022
уг,0.0022
кт,0.0021
их,0.0021
ик,0.0021
хо,0.0021
ье,0.0021
ий,0.0021
яп,0.0021
тн,0.0021
вш,0.0021
кн,0.0021
ую,0.0021
нь,0.0020
рм,0.0020
фо,0.0020
мн,0.0020
ча,0.0020
ач,0.0019
ех,0.0019
тс,0.0019
зн,0.0019
еи,0.0019
ну,0.0019
ят,0.0018
ож,0.0018
ля,0.0018
яз,0.0018
др,0.0018
ыв,0.0018
ез,0.0018
ха,0.0018
ео,0.0018
ац,0.0018
ый,0.0018
ян,0.0017
ые,0.0017
св,0.0017
йт,0.0017
уш,0.0017
ги,0.0017
ке,0.0017
йс,0.0017
гр,0.0017
ус,0.0017
ша,0.0016
ур,0.0016
хп,0.0016
ек,0.0016
яв,0.0016
ву,0.0016
ся,0.0016
ып,0.0016
ош,0.0015
га,0.0015
сс,0.0015
оч,0.0015
ыс,0.0015
чи,0.0015
дл,0.0015
дн,0.0014
ич,0.0014
ым,0.0014
жи,0.0014
шк,0.0014
яд,0.0014
ыл,0.0014
ув,0.0014
лу,0.0013
нт,0.0013
уж,0.0013
лс,0.0013
ао,0.0013
аг,0.0013
ря,0.0013
яг,0.0013
яи,0.0012
жн,0.0012
ры,0.0012
тк,0.0012
чн,0.0012
са,0.0012
ьв,0.0012
сш,0.0012
ям,0.0012
йн,0.0012
пл,0.0012
жа,0.0012
ьо,0.0011
сн,0.0011
лн,0.0011
аи,0.0011
зо,0.0011
щи,0.0011
уд,0.0011
яе,0.0011
ты,0.0011
нс,0.0011
ын,0.0011
аа,0.0011
су,0.0011
гу,0.0011
лк,0.0011
вф,0.0011
уи,0.0010
тя,0.0010
иа,0.0010
оу,0.0010
вк,0.0010
см,0.0010
йи,0.0010
еб,0.0010
еа,0.0010
зд,0.0010
пь,0.0010
иб,0.0010
ба,0.0010
мм,0.0010
гд,0.0009
ще,0.0009
йр,0.0009
мс,0.0009
ои,0.0009
рн,0.0009
зя,0.0009
ду,0.0009
иг,0.0009
лю,0.0009
ул,0.0009
уе,0.0009
жд,0.0009
ея,0.0009
ьс,0.0009
йк,0.0009
гл,0.0009
ум,0.0008
мы,0.0008
ец,0.0008
тп,0.0008
хз,0.0008
йм,0.0008
иц,0.0008
ьи,0.0008
йп,0.0008
лч,0.0008
дк,0.0008
ун,0.0008
лы,0.0008
йш,0.0008
ах,0.0008
мп,0.0008
ьт,0.0007
