bigram,frequency
"е""""",0.0181
"""""п",0.0170
"и""""",0.0157
"а""""",0.0147
"""""с",0.0143
ст,0.0139
"""""в",0.0131
"о""""",0.0127
"""""о",0.0121
ра,0.0121
"я""""",0.0119
"""""н",0.0110
ов,0.0107
ен,0.0101
на,0.0099
но,0.0099
"й""""",0.0098
"""""и",0.0098
ни,0.0092
то,0.0091
по,0.0087
"м""""",0.0085
ал,0.0084
"""""к",0.0082
ка,0.0076
ро,0.0073
го,0.0073
ва,0.0073
"ь""""",0.0071
ти,0.0070
"""""р",0.0070
не,0.0069
об,0.0069
аз,0.0069
ос,0.0068
ло,0.0068
"""""м",0.0068
ор,0.0067
ла,0.0066
ко,0.0065
во,0.0065
те,0.0064
пр,0.0063
от,0.0063
ол,0.0061
ет,0.0060
"т""""",0.0059
ес,0.0059
ан,0.0059
за,0.0058
"у""""",0.0057
ой,0.0057
ли,0.0055
ре,0.0055
ны,0.0054
"в""""",0.0053
он,0.0052
ер,0.0052
"""""з",0.0050
нн,0.0050
ом,0.0049
ри,0.0048
"х""""",0.0046
ав,0.0046
ие,0.0046
од,0.0046
ве,0.0045
ия,0.0045
ив,0.0043
ле,0.0043
"""""т",0.0042
ас,0.0041
ел,0.0041
мо,0.0041
ая,0.0041
че,0.0041
де,0.0041
ль,0.0040
"""""г",0.0040
"""""б",0.0039
"ы""""",0.0039
ит,0.0039
ил,0.0038
"""""д",0.0038
та,0.0037
ем,0.0036
"л""""",0.0036
ат,0.0036
вы,0.0035
ак,0.0035
ть,0.0035
со,0.0035
ви,0.0034
"с""""",0.0034
ин,0.0034
ше,0.0033
"""""а",0.0032
"к""""",0.0032
"""""у",0.0032
"""""е",0.0031
ру,0.0031
"н""""",0.0031
вн,0.0031
ок,0.0030
ми,0.0030
ня,0.0030
же,0.0030
тв,0.0029
ма,0.0029
ск,0.0029
бо,0.0029
ог,0.0029
ки,0.0029
сп,0.0029
му,0.0028
вл,0.0028
ши,0.0028
пе,0.0028
им,0.0027
"ю""""",0.0027
сл,0.0027
се,0.0027
бе,0.0027
да,0.0027
ег,0.0026
"""""ч",0.0026
зв,0.0026
сь,0.0026
вс,0.0025
ис,0.0025
бр,0.0025
ед,0.0025
до,0.0025
ых,0.0024
ей,0.0024
ди,0.0024
ам,0.0024
ме,0.0024
"""""э",0.0024
ае,0.0023
ир,0.0023
ци,0.0022
тр,0.0022
еч,0.0022
кр,0.0021
уч,0.0021
ьк,0.0021
бы,0.0021
аж,0.0021
ид,0.0020
па,0.0020
ии,0.0020
ьн,0.0020
ту,0.0020
аб,0.0020
ее,0.0019
из,0.0019
эт,0.0019
бу,0.0019
ад,0.0019
си,0.0019
"""""ш",0.0019
"""""ф",0.0018
ий,0.0018
ую,0.0018
чт,0.0018
фо,0.0017
рм,0.0017
хо,0.0017
нь,0.0017
ье,0.0017
ча,0.0017
ну,0.0016
ый,0.0016
ля,0.0016
их,0.0016
ож,0.0016
зн,0.0016
кн,0.0016
кт,0.0016
уг,0.0016
вш,0.0016
"""""л",0.0016
ац,0.0015
др,0.0015
ое,0.0015
ги,0.0015
ся,0.0014
гр,0.0014
ех,0.0014
ша,0.0014
ые,0.0014
ев,0.0014
ик,0.0014
уш,0.0014
ха,0.0014
ач,0.0013
ар,0.0013
дл,0.0013
ке,0.0013
ыв,0.0013
ош,0.0013
чи,0.0013
ят,0.0013
га,0.0013
оз,0.0013
ур,0.0012
"р""""",0.0012
мн,0.0012
ыл,0.0012
шк,0.0012
оп,0.0012
дн,0.0012
"""""х",0.0011
нт,0.0011
жи,0.0011
св,0.0011
тс,0.0011
яс,0.0011
тн,0.0011
ым,0.0011
ря,0.0011
оч,0.0011
пл,0.0011
лу,0.0011
уж,0.0011
яд,0.0011
жн,0.0010
ры,0.0010
са,0.0010
чн,0.0010
жа,0.0010
щи,0.0010
ич,0.0010
гу,0.0010
ты,0.0010
ук,0.0010
ыс,0.0010
яг,0.0010
ву,0.0009
пь,0.0009
су,0.0009
сс,0.0009
зо,0.0009
ба,0.0009
нс,0.0009
уд,0.0009
яз,0.0008
ус,0.0008
гл,0.0008
жд,0.0008
ез,0.0008
зд,0.0008
"""""ж",0.0008
тк,0.0008
тя,0.0008
ду,0.0008
оо,0.0008
гд,0.0008
ще,0.0008
ея,0.0007
см,0.0007
ец,0.0007
лс,0.0007
дк,0.0007
ах,0.0007
ям,0.0007
иц,0.0007
еб,0.0007
уе,0.0007
йн,0.0007
ум,0.0007
еп,0.0007
зя,0.0007
лю,0.0007
лы,0.0007
иг,0.0007
мы,0.0007
аш,0.0006
зг,0.0006
сш,0.0006
лн,0.0006
ул,0.0006
яе,0.0006
ек,0.0006
рн,0.0006
йт,0.0006
кж,0.0005
ды,0.0005
ап,0.0005
зи,0.0005
иа,0.0005
