אא: 1.99e-05 ,אב: 0.0023573 ,אג: 0.0034425 ,אד: 0.0004465 ,אה: 0.0007827 ,או: 0.0031422 ,אז: 0.0009593 ,אח: 0.0029416 ,אט: 0.0001807 ,אי: 0.0001599 ,אך: 0.0049248 ,אכ: 0.0058219 ,אל: 0.0019695 ,אם: 0.003632 ,אמ: 9.5e-05 ,אן: 0.0041854 ,אנ: 0.0028074 ,אס: 0.0035768 ,אע: 0.0040865 ,אף: 5.52e-05 ,אפ: 0.0001197 ,אץ: 0.0007005 ,אצ: 0.0002407 ,אק: 0.0011815 ,אר: 0.0003211 ,אש: 0.0014222 ,אû: 0.0 ,אü: 0.0 ,א‎: 1.9e-05 ,א‏: 0.0012283 ,אÿ: 0.0019205 ,א_: 0.0130943 
בא: 0.0010331 ,בב: 7.5e-06 ,בג: 5.3e-06 ,בד: 0.0 ,בה: 2.7e-06 ,בו: 0.0007672 ,בז: 4.4e-06 ,בח: 0.0 ,בט: 0.0003149 ,בי: 0.0 ,בך: 1.86e-05 ,בכ: 0.0008569 ,בל: 0.0002756 ,בם: 0.000307 ,במ: 0.0039279 ,בן: 9e-07 ,בנ: 0.002075 ,בס: 0.0004885 ,בע: 4e-07 ,בף: 0.0005945 ,בפ: 0.0 ,בץ: 0.0003547 ,בצ: 4e-07 ,בק: 4e-07 ,בר: 4e-06 ,בש: 0.0008092 ,בû: 0.0020163 ,בü: 1.02e-05 ,ב‎: 0.0 ,ב‏: 3.1e-06 ,בÿ: 0.0001029 ,ב_: 0.0001064 
גא: 0.0077702 ,גב: 6.6e-06 ,גג: 6.27e-05 ,גד: 4.55e-05 ,גה: 6.85e-05 ,גו: 0.0041267 ,גז: 0.0 ,גח: 0.0001413 ,גט: 0.0024567 ,גי: 0.0 ,גך: 0.0001356 ,גכ: 0.0019712 ,גל: 0.0001807 ,גם: 0.0014059 ,גמ: 0.008343 ,גן: 0.0001334 ,גנ: 0.0014461 ,גס: 0.0015101 ,גע: 0.0002915 ,גף: 0.0006378 ,גפ: 0.0001674 ,גץ: 9.5e-05 ,גצ: 7.64e-05 ,גק: 2.87e-05 ,גר: 0.0001864 ,גש: 8.8e-06 ,גû: 0.0015702 ,גü: 0.0001215 ,ג‎: 4e-06 ,ג‏: 0.0 ,גÿ: 0.0001321 ,ג_: 0.0078709 
דא: 0.0007637 ,דב: 9e-07 ,דג: 4.4e-06 ,דד: 1.72e-05 ,דה: 0.000477 ,דו: 0.0001449 ,דז: 9e-07 ,דח: 4e-07 ,דט: 0.0008383 ,די: 0.0 ,דך: 1.59e-05 ,דכ: 0.0004779 ,דל: 8.8e-06 ,דם: 8.79e-05 ,דמ: 0.0077803 ,דן: 7.5e-06 ,דנ: 0.0002973 ,דס: 6.6e-06 ,דע: 4.4e-06 ,דף: 0.0003096 ,דפ: 2.2e-06 ,דץ: 4e-07 ,דצ: 0.0 ,דק: 1.02e-05 ,דר: 4e-06 ,דש: 0.0 ,דû: 0.0 ,דü: 0.0 ,ד‎: 0.0 ,ד‏: 1.3e-06 ,דÿ: 0.0 ,ד_: 0.0005994 
הא: 0.0036214 ,הב: 8.4e-06 ,הג: 0.0005278 ,הד: 1.99e-05 ,הה: 5.92e-05 ,הו: 0.0060471 ,הז: 3.45e-05 ,הח: 8.8e-06 ,הט: 0.0025079 ,הי: 4e-07 ,הך: 4.86e-05 ,הכ: 0.0012045 ,הל: 0.0002469 ,הם: 0.0018882 ,המ: 0.0033816 ,הן: 0.0003609 ,הנ: 0.001363 ,הס: 0.0031585 ,הע: 0.0001784 ,הף: 0.0018577 ,הפ: 1.02e-05 ,הץ: 5.7e-06 ,הצ: 4.42e-05 ,הק: 3.36e-05 ,הר: 2.83e-05 ,הש: 4e-07 ,הû: 0.0003348 ,הü: 0.0001745 ,ה‎: 3.5e-06 ,ה‏: 4e-06 ,הÿ: 0.0002319 ,ה_: 0.0012372 
וא: 0.0001665 ,וב: 0.0012888 ,וג: 0.0010146 ,וד: 0.0026475 ,וה: 0.0052901 ,וו: 0.0013295 ,וז: 0.0013767 ,וח: 0.0006767 ,וט: 0.0001656 ,וי: 0.001935 ,וך: 0.0006934 ,וכ: 0.0060105 ,ול: 0.004238 ,ום: 0.0134737 ,ומ: 0.0005755 ,ון: 0.0007314 ,ונ: 0.0046064 ,וס: 0.0055383 ,וע: 0.0067631 ,וף: 3.75e-05 ,ופ: 7.6e-05 ,וץ: 0.0003776 ,וצ: 0.0002027 ,וק: 0.0008127 ,ור: 0.000182 ,וש: 0.0006254 ,וû: 4e-07 ,וü: 0.0 ,ו‎: 8.8e-06 ,ו‏: 0.0001029 ,וÿ: 5.34e-05 ,ו_: 0.0145138 
זא: 0.0006148 ,זב: 7.1e-06 ,זג: 9e-07 ,זד: 0.0 ,זה: 0.0008882 ,זו: 0.0031832 ,זז: 4e-07 ,זח: 0.0 ,זט: 0.0009739 ,זי: 0.0 ,זך: 9.19e-05 ,זכ: 3.5e-06 ,זל: 4e-07 ,זם: 0.0013365 ,זמ: 2.69e-05 ,זן: 0.0 ,זנ: 1.8e-06 ,זס: 6.2e-06 ,זע: 4e-07 ,זף: 0.0001365 ,זפ: 0.0 ,זץ: 0.0 ,זצ: 0.0 ,זק: 1.33e-05 ,זר: 0.0 ,זש: 0.0 ,זû: 0.0 ,זü: 5.3e-06 ,ז‎: 0.0 ,ז‏: 9e-07 ,זÿ: 0.0 ,ז_: 2.12e-05 
חא: 0.0024779 ,חב: 8.83e-05 ,חג: 0.0030136 ,חד: 8.04e-05 ,חה: 0.0013286 ,חו: 0.0002204 ,חז: 2.34e-05 ,חח: 1.41e-05 ,חט: 0.0002632 ,חי: 0.0 ,חך: 3.45e-05 ,חכ: 0.0005782 ,חל: 0.0008184 ,חם: 0.0009903 ,חמ: 0.000924 ,חן: 5.7e-06 ,חנ: 0.0003847 ,חס: 1.72e-05 ,חע: 5.7e-06 ,חף: 0.0003556 ,חפ: 8.4e-06 ,חץ: 0.0 ,חצ: 3.5e-06 ,חק: 8.8e-06 ,חר: 2.7e-06 ,חש: 0.0 ,חû: 0.0002783 ,חü: 3.67e-05 ,ח‎: 0.0 ,ח‏: 3.5e-06 ,חÿ: 0.0001391 ,ח_: 0.0011396 
טא: 0.0003096 ,טב: 0.0010658 ,טג: 0.001837 ,טד: 0.0003052 ,טה: 0.0008299 ,טו: 0.0034001 ,טז: 0.0002725 ,טח: 0.0049124 ,טט: 0.0012283 ,טי: 0.0010477 ,טך: 0.0009766 ,טכ: 0.0022601 ,טל: 0.0058961 ,טם: 0.0021925 ,טמ: 0.0008246 ,טן: 0.0001237 ,טנ: 0.0012076 ,טס: 0.002545 ,טע: 0.0075811 ,טף: 1.33e-05 ,טפ: 0.0001776 ,טץ: 0.0020084 ,טצ: 0.0003052 ,טק: 0.0023811 ,טר: 0.0006798 ,טש: 0.0001179 ,טû: 0.0 ,טü: 0.0 ,ט‎: 1.19e-05 ,ט‏: 0.0004368 ,טÿ: 0.0031709 ,ט_: 0.0139737 
יא: 3.5e-06 ,יב: 3.1e-06 ,יג: 2.08e-05 ,יד: 5.3e-06 ,יה: 3.49e-05 ,יו: 4e-06 ,יז: 9e-07 ,יח: 3.5e-06 ,יט: 1.68e-05 ,יי: 3.5e-06 ,יך: 3.36e-05 ,יכ: 3.45e-05 ,יל: 1.15e-05 ,ים: 0.0001299 ,ימ: 1.19e-05 ,ין: 2.16e-05 ,ינ: 5.7e-06 ,יס: 0.0006661 ,יע: 7.55e-05 ,יף: 3.5e-06 ,יפ: 6.2e-06 ,יץ: 4e-07 ,יצ: 6.6e-06 ,יק: 1.41e-05 ,יר: 8.08e-05 ,יש: 4e-07 ,יû: 0.0 ,יü: 0.0 ,י‎: 4e-06 ,י‏: 0.0 ,יÿ: 1.3e-06 ,י_: 0.0085025 
ךא: 0.0078104 ,ךב: 2.7e-06 ,ךג: 0.0001665 ,ךד: 3.1e-06 ,ךה: 3.5e-06 ,ךו: 0.0002178 ,ךז: 0.000136 ,ךח: 1.24e-05 ,ךט: 0.0015804 ,ךי: 0.0 ,ךך: 1.1e-05 ,ךכ: 0.0005247 ,ךל: 3.1e-06 ,ךם: 0.0001555 ,ךמ: 0.0062631 ,ךן: 7.5e-06 ,ךנ: 0.0009669 ,ךס: 0.0002231 ,ךע: 0.0015278 ,ךף: 0.0011002 ,ךפ: 1.06e-05 ,ךץ: 0.0 ,ךצ: 0.000405 ,ךק: 2.7e-06 ,ךר: 9.7e-06 ,ךש: 0.0 ,ךû: 0.0 ,ךü: 4e-07 ,ך‎: 2.7e-06 ,ך‏: 4e-07 ,ךÿ: 0.0 ,ך_: 0.0035339 
