אא: 0.0003466 ,אב: 0.0030324 ,אג: 0.0054717 ,אד: 0.0006193 ,אה: 0.0016148 ,או: 0.0039238 ,אז: 0.0011885 ,אח: 0.0037431 ,אט: 0.0014927 ,אי: 0.0001874 ,אך: 0.0066744 ,אכ: 0.0068465 ,אל: 0.00262 ,אם: 0.0053604 ,אמ: 0.0011778 ,אן: 0.0070686 ,אנ: 0.0037681 ,אס: 0.0056187 ,אע: 0.0057974 ,אף: 0.0002563 ,אפ: 0.0002706 ,אץ: 0.0008975 ,אצ: 0.0003303 ,אק: 0.0016525 ,אר: 0.000387 ,אש: 0.0016439 ,אû: 0.0 ,אü: 0.0 ,א‎: 0.000363 ,א‏: 0.0014248 ,אÿ: 0.0023157 
בא: 0.0011961 ,בב: 9.2e-06 ,בג: 1.58e-05 ,בד: 5e-07 ,בה: 5.1e-06 ,בו: 0.0008883 ,בז: 5.1e-06 ,בח: 2e-06 ,בט: 0.0003788 ,בי: 0.0 ,בך: 2.71e-05 ,בכ: 0.0009914 ,בל: 0.0003191 ,בם: 0.0003579 ,במ: 0.0045579 ,בן: 3.06e-05 ,בנ: 0.002402 ,בס: 0.0005733 ,בע: 2e-06 ,בף: 0.0006907 ,בפ: 1e-06 ,בץ: 0.0004099 ,בצ: 4.1e-06 ,בק: 1e-06 ,בר: 4.6e-06 ,בש: 0.0009353 ,בû: 0.0023305 ,בü: 1.17e-05 ,ב‎: 9.7e-06 ,ב‏: 3.6e-06 ,בÿ: 0.0001189 
גא: 0.0090846 ,גב: 0.0001338 ,גג: 0.0005861 ,גד: 0.0001577 ,גה: 0.0007673 ,גו: 0.0049035 ,גז: 2.45e-05 ,גח: 0.0003145 ,גט: 0.0031728 ,גי: 5e-07 ,גך: 0.0010736 ,גכ: 0.0023182 ,גל: 0.0003313 ,גם: 0.0020982 ,גמ: 0.0103328 ,גן: 0.0016347 ,גנ: 0.0020288 ,גס: 0.0026945 ,גע: 0.0014008 ,גף: 0.0008153 ,גפ: 0.000463 ,גץ: 0.0001532 ,גצ: 0.0001532 ,גק: 0.0001067 ,גר: 0.0002313 ,גש: 1.02e-05 ,גû: 0.0018149 ,גü: 0.0001404 ,ג‎: 0.000265 ,ג‏: 5.6e-06 ,גÿ: 0.0001659 
דא: 0.0008959 ,דב: 3.11e-05 ,דג: 8.58e-05 ,דד: 2.45e-05 ,דה: 0.0006162 ,דו: 0.0001726 ,דז: 2e-06 ,דח: 1.53e-05 ,דט: 0.0010256 ,די: 0.0 ,דך: 9.29e-05 ,דכ: 0.0005554 ,דל: 3.01e-05 ,דם: 0.0001649 ,דמ: 0.0090463 ,דן: 7.5e-05 ,דנ: 0.0003533 ,דס: 5.97e-05 ,דע: 3.42e-05 ,דף: 0.0003701 ,דפ: 9.7e-06 ,דץ: 3.6e-06 ,דצ: 1.5e-06 ,דק: 2.4e-05 ,דר: 5.6e-06 ,דש: 0.0 ,דû: 0.0 ,דü: 0.0 ,ד‎: 8.2e-06 ,ד‏: 1.5e-06 ,דÿ: 4.6e-06 
הא: 0.0042179 ,הב: 3.22e-05 ,הג: 0.0007367 ,הד: 3.37e-05 ,הה: 0.000145 ,הו: 0.0070236 ,הז: 4.65e-05 ,הח: 4.85e-05 ,הט: 0.0030182 ,הי: 5e-07 ,הך: 0.0001567 ,הכ: 0.0014054 ,הל: 0.0003165 ,הם: 0.0023106 ,המ: 0.0040433 ,הן: 0.000605 ,הנ: 0.0016188 ,הס: 0.0037793 ,הע: 0.0003022 ,הף: 0.0021636 ,הפ: 2.6e-05 ,הץ: 1.58e-05 ,הצ: 5.56e-05 ,הק: 5.51e-05 ,הר: 3.42e-05 ,הש: 5e-07 ,הû: 0.000387 ,הü: 0.0002017 ,ה‎: 2.4e-05 ,ה‏: 5.1e-06 ,הÿ: 0.0002844 
וא: 0.0003645 ,וב: 0.0018649 ,וג: 0.0029176 ,וד: 0.0032596 ,וה: 0.007015 ,וו: 0.0018384 ,וז: 0.0017332 ,וח: 0.0011849 ,וט: 0.0012579 ,וי: 0.0022616 ,וך: 0.0018475 ,וכ: 0.0070604 ,ול: 0.0055865 ,ום: 0.0164824 ,ומ: 0.0019583 ,ון: 0.0031509 ,ונ: 0.0059413 ,וס: 0.0081779 ,וע: 0.0089151 ,וף: 0.0003058 ,ופ: 0.0002946 ,וץ: 0.0005171 ,וצ: 0.0003032 ,וק: 0.0014386 ,ור: 0.0002308 ,וש: 0.0007229 ,וû: 5e-07 ,וü: 0.0 ,ו‎: 0.0003599 ,ו‏: 0.0001225 ,וÿ: 0.000168 
זא: 0.0007117 ,זב: 1.02e-05 ,זג: 2e-06 ,זד: 1e-06 ,זה: 0.0010277 ,זו: 0.0036793 ,זז: 5e-07 ,זח: 5e-07 ,זט: 0.0011293 ,זי: 0.0 ,זך: 0.0001067 ,זכ: 5.1e-06 ,זל: 1.5e-06 ,זם: 0.0015469 ,זמ: 3.17e-05 ,זן: 1e-06 ,זנ: 2.6e-06 ,זס: 1.17e-05 ,זע: 2.6e-06 ,זף: 0.0001583 ,זפ: 0.0 ,זץ: 0.0 ,זצ: 0.0 ,זק: 1.53e-05 ,זר: 0.0 ,זש: 0.0 ,זû: 0.0 ,זü: 6.1e-06 ,ז‎: 5e-07 ,ז‏: 1e-06 ,זÿ: 0.0 
חא: 0.0028742 ,חב: 0.0001266 ,חג: 0.0035767 ,חד: 0.0001067 ,חה: 0.0016025 ,חו: 0.0002844 ,חז: 3.11e-05 ,חח: 3.47e-05 ,חט: 0.0003487 ,חי: 0.0 ,חך: 0.000145 ,חכ: 0.0006723 ,חל: 0.0009741 ,חם: 0.0012615 ,חמ: 0.0012058 ,חן: 0.000172 ,חנ: 0.0004977 ,חס: 0.0001588 ,חע: 0.0001128 ,חף: 0.0004304 ,חפ: 3.27e-05 ,חץ: 5.6e-06 ,חצ: 8.2e-06 ,חק: 2.81e-05 ,חר: 4.6e-06 ,חש: 0.0 ,חû: 0.0003216 ,חü: 4.24e-05 ,ח‎: 8.22e-05 ,ח‏: 5.1e-06 ,חÿ: 0.0001623 
טא: 0.0005769 ,טב: 0.0016694 ,טג: 0.003713 ,טד: 0.0004554 ,טה: 0.0017842 ,טו: 0.0042674 ,טז: 0.0004763 ,טח: 0.0060276 ,טט: 0.0024341 ,טי: 0.001215 ,טך: 0.0021707 ,טכ: 0.0027246 ,טל: 0.0073294 ,טם: 0.0036114 ,טמ: 0.0021921 ,טן: 0.0024984 ,טנ: 0.0019823 ,טס: 0.0044629 ,טע: 0.010173 ,טף: 0.0002527 ,טפ: 0.0003604 ,טץ: 0.0023856 ,טצ: 0.0004105 ,טק: 0.0030442 ,טר: 0.0007995 ,טש: 0.0001363 ,טû: 5e-07 ,טü: 5e-07 ,ט‎: 0.0003584 ,ט‏: 0.0005095 ,טÿ: 0.0037456 
יא: 0.0001098 ,יב: 9.5e-05 ,יג: 0.0005697 ,יד: 8.58e-05 ,יה: 0.0004329 ,יו: 9.44e-05 ,יז: 0.0001358 ,יח: 0.0001613 ,יט: 0.0004891 ,יי: 9.2e-06 ,יך: 0.0010981 ,יכ: 9.09e-05 ,יל: 0.0003303 ,ים: 0.0005968 ,ימ: 0.0004809 ,ין: 0.0012998 ,ינ: 0.0003757 ,יס: 0.0027808 ,יע: 0.0006203 ,יף: 6.02e-05 ,יפ: 0.0005651 ,יץ: 8.27e-05 ,יצ: 7.66e-05 ,יק: 0.0002793 ,יר: 0.0001036 ,יש: 1.5e-06 ,יû: 0.0 ,יü: 0.0 ,י‎: 0.0001629 ,י‏: 1.5e-06 ,יÿ: 2.91e-05 
ךא: 0.0090728 ,ךב: 7.71e-05 ,ךג: 0.0004533 ,ךד: 2.86e-05 ,ךה: 0.0002614 ,ךו: 0.0003201 ,ךז: 0.000316 ,ךח: 6.48e-05 ,ךט: 0.0021896 ,ךי: 0.0 ,ךך: 0.000463 ,ךכ: 0.0006223 ,ךל: 0.0001169 ,ךם: 0.0004681 ,ךמ: 0.0074913 ,ךן: 0.0005069 ,ךנ: 0.0012707 ,ךס: 0.0006126 ,ךע: 0.0020645 ,ךף: 0.0013187 ,ךפ: 5.51e-05 ,ךץ: 1.63e-05 ,ךצ: 0.0004911 ,ךק: 0.0001113 ,ךר: 1.38e-05 ,ךש: 5e-07 ,ךû: 0.0 ,ךü: 5e-07 ,ך‎: 0.0001108 ,ך‏: 5e-07 ,ךÿ: 8.2e-06 
