אא: 1.68e-05 ,אב: 0.0023683 ,אג: 0.0034469 ,אד: 0.0004655 ,אה: 0.0007288 ,או: 0.003174 ,אז: 0.0009373 ,אח: 0.0029558 ,אט: 0.0001908 ,אי: 0.0001617 ,אך: 0.0048683 ,אכ: 0.0057508 ,אל: 0.0019231 ,אם: 0.0035883 ,אמ: 8.92e-05 ,אן: 0.0041483 ,אנ: 0.0028029 ,אס: 0.0035715 ,אע: 0.0040777 ,אף: 5.3e-05 ,אפ: 0.0001334 ,אץ: 0.0007111 ,אצ: 0.0002509 ,אק: 0.0011599 ,אר: 0.0003215 ,אש: 0.0014514 ,אû: 0.0 ,אü: 0.0 ,א‎: 1.86e-05 ,א‏: 0.0012464 ,אÿ: 0.0019408 ,א_: 0.0131464 
בא: 0.0010441 ,בב: 6.2e-06 ,בג: 7.1e-06 ,בד: 0.0 ,בה: 3.5e-06 ,בו: 0.0007942 ,בז: 5.3e-06 ,בח: 0.0 ,בט: 0.0003074 ,בי: 0.0 ,בך: 2.03e-05 ,בכ: 0.0008869 ,בל: 0.0002606 ,בם: 0.0002959 ,במ: 0.0038842 ,בן: 0.0 ,בנ: 0.0020697 ,בס: 0.0005124 ,בע: 9e-07 ,בף: 0.0005998 ,בפ: 0.0 ,בץ: 0.0003551 ,בצ: 0.0 ,בק: 9e-07 ,בר: 1.8e-06 ,בש: 0.0008207 ,בû: 0.0019805 ,בü: 1.33e-05 ,ב‎: 0.0 ,ב‏: 3.5e-06 ,בÿ: 0.0001007 ,ב_: 0.0001051 
גא: 0.0076659 ,גב: 1.06e-05 ,גג: 6.54e-05 ,גד: 4.68e-05 ,גה: 6.63e-05 ,גו: 0.0041236 ,גז: 0.0 ,גח: 0.0001352 ,גט: 0.0024602 ,גי: 0.0 ,גך: 0.0001369 ,גכ: 0.0019487 ,גל: 0.0001935 ,גם: 0.0014046 ,גמ: 0.0083444 ,גן: 0.0001334 ,גנ: 0.001447 ,גס: 0.0014982 ,גע: 0.000295 ,גף: 0.0006572 ,גפ: 0.0001617 ,גץ: 9.72e-05 ,גצ: 7.69e-05 ,גק: 2.65e-05 ,גר: 0.0001855 ,גש: 8e-06 ,גû: 0.0015892 ,גü: 0.0001175 ,ג‎: 4.4e-06 ,ג‏: 0.0 ,גÿ: 0.0001272 ,ג_: 0.007877 
דא: 0.0007544 ,דב: 0.0 ,דג: 4.4e-06 ,דד: 9.7e-06 ,דה: 0.0005 ,דו: 0.0001405 ,דז: 0.0 ,דח: 9e-07 ,דט: 0.0008454 ,די: 0.0 ,דך: 1.59e-05 ,דכ: 0.0004735 ,דל: 8e-06 ,דם: 8.66e-05 ,דמ: 0.0076801 ,דן: 7.1e-06 ,דנ: 0.000303 ,דס: 4.4e-06 ,דע: 2.7e-06 ,דף: 0.0003162 ,דפ: 1.8e-06 ,דץ: 9e-07 ,דצ: 0.0 ,דק: 1.06e-05 ,דר: 3.5e-06 ,דש: 0.0 ,דû: 0.0 ,דü: 0.0 ,ד‎: 0.0 ,ד‏: 9e-07 ,דÿ: 0.0 ,ד_: 0.000598 
הא: 0.003613 ,הב: 8.8e-06 ,הג: 0.0005397 ,הד: 2.03e-05 ,הה: 5.57e-05 ,הו: 0.0060034 ,הז: 2.92e-05 ,הח: 1.06e-05 ,הט: 0.0024946 ,הי: 0.0 ,הך: 5.65e-05 ,הכ: 0.0011881 ,הל: 0.0002438 ,הם: 0.001856 ,המ: 0.003431 ,הן: 0.0003684 ,הנ: 0.0013365 ,הס: 0.0032137 ,הע: 0.0001723 ,הף: 0.0018577 ,הפ: 1.06e-05 ,הץ: 6.2e-06 ,הצ: 4.33e-05 ,הק: 3.36e-05 ,הר: 2.92e-05 ,הש: 0.0 ,הû: 0.0003304 ,הü: 0.0001793 ,ה‎: 6.2e-06 ,ה‏: 2.7e-06 ,הÿ: 0.0002526 ,ה_: 0.0012208 
וא: 0.000182 ,וב: 0.0012482 ,וג: 0.0009929 ,וד: 0.0026634 ,וה: 0.0052587 ,וו: 0.0013339 ,וז: 0.0013577 ,וח: 0.000682 ,וט: 0.0001528 ,וי: 0.0019328 ,וך: 0.000697 ,וכ: 0.0060935 ,ול: 0.0041713 ,ום: 0.013513 ,ומ: 0.0005901 ,ון: 0.000742 ,ונ: 0.0045944 ,וס: 0.0055918 ,וע: 0.0067587 ,וף: 3.36e-05 ,ופ: 7.24e-05 ,וץ: 0.0003604 ,וצ: 0.0001926 ,וק: 0.0008171 ,ור: 0.0001776 ,וש: 0.0006201 ,וû: 9e-07 ,וü: 0.0 ,ו‎: 9.7e-06 ,ו‏: 0.0001184 ,וÿ: 5.48e-05 ,ו_: 0.0144096 
זא: 0.0006669 ,זב: 8e-06 ,זג: 0.0 ,זד: 0.0 ,זה: 0.0009028 ,זו: 0.003196 ,זז: 9e-07 ,זח: 0.0 ,זט: 0.0009956 ,זי: 0.0 ,זך: 9.1e-05 ,זכ: 3.5e-06 ,זל: 0.0 ,זם: 0.0013215 ,זמ: 2.74e-05 ,זן: 0.0 ,זנ: 9e-07 ,זס: 6.2e-06 ,זע: 0.0 ,זף: 0.0001484 ,זפ: 0.0 ,זץ: 0.0 ,זצ: 0.0 ,זק: 1.33e-05 ,זר: 0.0 ,זש: 0.0 ,זû: 0.0 ,זü: 8.8e-06 ,ז‎: 0.0 ,ז‏: 0.0 ,זÿ: 0.0 ,ז_: 2.3e-05 
חא: 0.0024734 ,חב: 8.83e-05 ,חג: 0.0030247 ,חד: 7.77e-05 ,חה: 0.0013569 ,חו: 0.0002403 ,חז: 2.39e-05 ,חח: 1.68e-05 ,חט: 0.0002641 ,חי: 0.0 ,חך: 3.89e-05 ,חכ: 0.0005804 ,חל: 0.00078 ,חם: 0.000947 ,חמ: 0.0008657 ,חן: 5.3e-06 ,חנ: 0.0003878 ,חס: 2.3e-05 ,חע: 8.8e-06 ,חף: 0.0003684 ,חפ: 7.1e-06 ,חץ: 0.0 ,חצ: 3.5e-06 ,חק: 8.8e-06 ,חר: 5.3e-06 ,חש: 0.0 ,חû: 0.0002791 ,חü: 2.92e-05 ,ח‎: 0.0 ,ח‏: 4.4e-06 ,חÿ: 0.000144 ,ח_: 0.0011263 
טא: 0.0003154 ,טב: 0.0010768 ,טג: 0.001871 ,טד: 0.0003171 ,טה: 0.0008162 ,טו: 0.0034266 ,טז: 0.0002624 ,טח: 0.0049266 ,טט: 0.0012191 ,טי: 0.0009903 ,טך: 0.0009938 ,טכ: 0.0022712 ,טל: 0.0058638 ,טם: 0.0022208 ,טמ: 0.0008224 ,טן: 0.0001166 ,טנ: 0.0012261 ,טס: 0.0024796 ,טע: 0.007567 ,טף: 1.15e-05 ,טפ: 0.0001784 ,טץ: 0.0019938 ,טצ: 0.0003101 ,טק: 0.0024116 ,טר: 0.0006466 ,טש: 0.0001219 ,טû: 0.0 ,טü: 0.0 ,ט‎: 1.24e-05 ,ט‏: 0.0004382 ,טÿ: 0.0032111 ,ט_: 0.0139953 
יא: 3.5e-06 ,יב: 2.7e-06 ,יג: 1.59e-05 ,יד: 7.1e-06 ,יה: 2.92e-05 ,יו: 5.3e-06 ,יז: 0.0 ,יח: 3.5e-06 ,יט: 1.77e-05 ,יי: 2.7e-06 ,יך: 3.45e-05 ,יכ: 3.09e-05 ,יל: 1.15e-05 ,ים: 0.0001254 ,ימ: 9.7e-06 ,ין: 2.21e-05 ,ינ: 4.4e-06 ,יס: 0.0007023 ,יע: 8.39e-05 ,יף: 1.8e-06 ,יפ: 1.8e-06 ,יץ: 0.0 ,יצ: 6.2e-06 ,יק: 1.5e-05 ,יר: 7.95e-05 ,יש: 0.0 ,יû: 0.0 ,יü: 0.0 ,י‎: 3.5e-06 ,י‏: 0.0 ,יÿ: 9e-07 ,י_: 0.0084972 
ךא: 0.0078938 ,ךב: 4.4e-06 ,ךג: 0.0001687 ,ךד: 3.5e-06 ,ךה: 3.5e-06 ,ךו: 0.0002191 ,ךז: 0.0001352 ,ךח: 8.8e-06 ,ךט: 0.0015662 ,ךי: 0.0 ,ךך: 1.41e-05 ,ךכ: 0.0005238 ,ךל: 3.5e-06 ,ךם: 0.0001511 ,ךמ: 0.006211 ,ךן: 8e-06 ,ךנ: 0.0009717 ,ךס: 0.0002173 ,ךע: 0.0015724 ,ךף: 0.0011263 ,ךפ: 1.33e-05 ,ךץ: 0.0 ,ךצ: 0.0004055 ,ךק: 3.5e-06 ,ךר: 1.15e-05 ,ךש: 0.0 ,ךû: 0.0 ,ךü: 9e-07 ,ך‎: 3.5e-06 ,ך‏: 0.0 ,ךÿ: 0.0 ,ך_: 0.0035697 
