אא: 0.0003461 ,אב: 0.0030171 ,אג: 0.0055197 ,אד: 0.0006147 ,אה: 0.0015499 ,או: 0.003884 ,אז: 0.0012283 ,אח: 0.0036726 ,אט: 0.0014682 ,אי: 0.0001787 ,אך: 0.0066918 ,אכ: 0.0067959 ,אל: 0.0026016 ,אם: 0.0052746 ,אמ: 0.0011099 ,אן: 0.0070175 ,אנ: 0.0038094 ,אס: 0.0056606 ,אע: 0.0057433 ,אף: 0.0002604 ,אפ: 0.0002604 ,אץ: 0.0009312 ,אצ: 0.0003308 ,אק: 0.0016183 ,אר: 0.0003737 ,אש: 0.0016622 ,אû: 0.0 ,אü: 0.0 ,א‎: 0.0003461 ,א‏: 0.001408 ,אÿ: 0.0022912 
בא: 0.0011691 ,בב: 8.2e-06 ,בג: 1.63e-05 ,בד: 1e-06 ,בה: 4.1e-06 ,בו: 0.0008934 ,בז: 7.1e-06 ,בח: 2e-06 ,בט: 0.0003819 ,בי: 0.0 ,בך: 2.76e-05 ,בכ: 0.0009996 ,בל: 0.0003339 ,בם: 0.000342 ,במ: 0.0046518 ,בן: 2.76e-05 ,בנ: 0.0023667 ,בס: 0.0005687 ,בע: 3.1e-06 ,בף: 0.0006729 ,בפ: 1e-06 ,בץ: 0.0004064 ,בצ: 6.1e-06 ,בק: 1e-06 ,בר: 3.1e-06 ,בש: 0.0009496 ,בû: 0.0023902 ,בü: 1.23e-05 ,ב‎: 1.12e-05 ,ב‏: 3.1e-06 ,בÿ: 0.0001154 
גא: 0.0091484 ,גב: 0.000144 ,גג: 0.0006034 ,גד: 0.0001654 ,גה: 0.0007821 ,גו: 0.0049897 ,גז: 2.45e-05 ,גח: 0.0003114 ,גט: 0.0031785 ,גי: 1e-06 ,גך: 0.0010588 ,גכ: 0.0023586 ,גל: 0.0002971 ,גם: 0.0020369 ,גמ: 0.0102296 ,גן: 0.0016173 ,גנ: 0.0020329 ,גס: 0.0026547 ,גע: 0.0014111 ,גף: 0.0008209 ,גפ: 0.0004748 ,גץ: 0.0001501 ,גצ: 0.0001623 ,גק: 9.29e-05 ,גר: 0.0002471 ,גש: 1.23e-05 ,גû: 0.0017643 ,גü: 0.0001521 ,ג‎: 0.0002767 ,ג‏: 6.1e-06 ,גÿ: 0.000144 
דא: 0.0008679 ,דב: 2.65e-05 ,דג: 8.58e-05 ,דד: 2.14e-05 ,דה: 0.0006167 ,דו: 0.000192 ,דז: 2e-06 ,דח: 1.12e-05 ,דט: 0.0010159 ,די: 0.0 ,דך: 0.0001021 ,דכ: 0.0005371 ,דל: 2.65e-05 ,דם: 0.0001664 ,דמ: 0.009032 ,דן: 6.84e-05 ,דנ: 0.0003482 ,דס: 6.02e-05 ,דע: 3.68e-05 ,דף: 0.0003471 ,דפ: 8.2e-06 ,דץ: 5.1e-06 ,דצ: 1e-06 ,דק: 2.45e-05 ,דר: 7.1e-06 ,דש: 0.0 ,דû: 0.0 ,דü: 0.0 ,ד‎: 7.1e-06 ,ד‏: 2e-06 ,דÿ: 6.1e-06 
הא: 0.0042281 ,הב: 2.86e-05 ,הג: 0.0007321 ,הד: 3.57e-05 ,הה: 0.0001419 ,הו: 0.006994 ,הז: 4.59e-05 ,הח: 5.62e-05 ,הט: 0.0030141 ,הי: 0.0 ,הך: 0.0001583 ,הכ: 0.001408 ,הל: 0.0003369 ,הם: 0.0022411 ,המ: 0.0040974 ,הן: 0.0006044 ,הנ: 0.0016377 ,הס: 0.0037227 ,הע: 0.0003277 ,הף: 0.0021646 ,הפ: 3.17e-05 ,הץ: 1.43e-05 ,הצ: 7.05e-05 ,הק: 5.92e-05 ,הר: 3.17e-05 ,הש: 0.0 ,הû: 0.0003911 ,הü: 0.0002032 ,ה‎: 2.65e-05 ,ה‏: 4.1e-06 ,הÿ: 0.0002838 
וא: 0.0003502 ,וב: 0.0018736 ,וג: 0.0029395 ,וד: 0.0032652 ,וה: 0.0070686 ,וו: 0.0018317 ,וז: 0.0017255 ,וח: 0.0011813 ,וט: 0.0012559 ,וי: 0.002281 ,וך: 0.0018899 ,וכ: 0.0070543 ,ול: 0.0056534 ,ום: 0.0164201 ,ומ: 0.0019216 ,ון: 0.0031141 ,ונ: 0.0059424 ,וס: 0.0081498 ,וע: 0.0090687 ,וף: 0.0003216 ,ופ: 0.0002961 ,וץ: 0.0004829 ,וצ: 0.0002879 ,וק: 0.0014396 ,ור: 0.0002318 ,וש: 0.0006769 ,וû: 0.0 ,וü: 0.0 ,ו‎: 0.0003441 ,ו‏: 0.0001225 ,וÿ: 0.0001674 
זא: 0.00073 ,זב: 1.02e-05 ,זג: 1e-06 ,זד: 1e-06 ,זה: 0.0010363 ,זו: 0.0036389 ,זז: 1e-06 ,זח: 1e-06 ,זט: 0.001116 ,זי: 0.0 ,זך: 0.0001133 ,זכ: 6.1e-06 ,זל: 3.1e-06 ,זם: 0.0015183 ,זמ: 3.17e-05 ,זן: 1e-06 ,זנ: 3.1e-06 ,זס: 1.43e-05 ,זע: 4.1e-06 ,זף: 0.0001634 ,זפ: 0.0 ,זץ: 0.0 ,זצ: 0.0 ,זק: 1.74e-05 ,זר: 0.0 ,זש: 0.0 ,זû: 0.0 ,זü: 9.2e-06 ,ז‎: 0.0 ,ז‏: 1e-06 ,זÿ: 0.0 
חא: 0.0029201 ,חב: 0.0001256 ,חג: 0.0035838 ,חד: 0.0001154 ,חה: 0.0016132 ,חו: 0.0002787 ,חז: 3.27e-05 ,חח: 3.17e-05 ,חט: 0.0003584 ,חי: 0.0 ,חך: 0.000148 ,חכ: 0.0006871 ,חל: 0.000971 ,חם: 0.0012579 ,חמ: 0.0012324 ,חן: 0.0001664 ,חנ: 0.0005085 ,חס: 0.0001572 ,חע: 0.0001052 ,חף: 0.0004401 ,חפ: 3.06e-05 ,חץ: 4.1e-06 ,חצ: 1.02e-05 ,חק: 2.86e-05 ,חר: 5.1e-06 ,חש: 0.0 ,חû: 0.0003247 ,חü: 4.59e-05 ,ח‎: 7.86e-05 ,ח‏: 7.1e-06 ,חÿ: 0.0001715 
טא: 0.0005595 ,טב: 0.0016786 ,טג: 0.0037574 ,טד: 0.0004513 ,טה: 0.0017868 ,טו: 0.0043097 ,טז: 0.0004911 ,טח: 0.0060149 ,טט: 0.0023963 ,טי: 0.0011752 ,טך: 0.0022095 ,טכ: 0.0027333 ,טל: 0.0073677 ,טם: 0.0036103 ,טמ: 0.0022646 ,טן: 0.0024719 ,טנ: 0.0019624 ,טס: 0.0043955 ,טע: 0.0101235 ,טף: 0.0002573 ,טפ: 0.0003594 ,טץ: 0.0023933 ,טצ: 0.0004002 ,טק: 0.003009 ,טר: 0.0008383 ,טש: 0.0001358 ,טû: 0.0 ,טü: 0.0 ,ט‎: 0.0003686 ,ט‏: 0.0005146 ,טÿ: 0.0037298 
יא: 0.0001123 ,יב: 9.7e-05 ,יג: 0.0005963 ,יד: 8.37e-05 ,יה: 0.0004676 ,יו: 7.96e-05 ,יז: 0.0001399 ,יח: 0.0001623 ,יט: 0.0004789 ,יי: 1.02e-05 ,יך: 0.0011047 ,יכ: 8.68e-05 ,יל: 0.0003114 ,ים: 0.0006106 ,ימ: 0.0004738 ,ין: 0.0012681 ,ינ: 0.000389 ,יס: 0.0027772 ,יע: 0.0006341 ,יף: 5.82e-05 ,יפ: 0.0005473 ,יץ: 6.94e-05 ,יצ: 8.07e-05 ,יק: 0.0002941 ,יר: 8.88e-05 ,יש: 1e-06 ,יû: 0.0 ,יü: 0.0 ,י‎: 0.0001736 ,י‏: 1e-06 ,יÿ: 3.37e-05 
ךא: 0.0090749 ,ךב: 8.07e-05 ,ךג: 0.000436 ,ךד: 2.25e-05 ,ךה: 0.0002624 ,ךו: 0.0002961 ,ךז: 0.0003267 ,ךח: 5.82e-05 ,ךט: 0.0021891 ,ךי: 0.0 ,ךך: 0.0004533 ,ךכ: 0.0006004 ,ךל: 0.0001399 ,ךם: 0.0004452 ,ךמ: 0.0075576 ,ךן: 0.0004687 ,ךנ: 0.0012477 ,ךס: 0.0006075 ,ךע: 0.002041 ,ךף: 0.0013375 ,ךפ: 5.11e-05 ,ךץ: 1.53e-05 ,ךצ: 0.0004942 ,ךק: 0.0001307 ,ךר: 1.74e-05 ,ךש: 1e-06 ,ךû: 0.0 ,ךü: 1e-06 ,ך‎: 9.9e-05 ,ך‏: 1e-06 ,ךÿ: 1.33e-05 
כא: 0.0043189 ,כב: 7.86e-05 ,כג: 0.0002328 ,כד: 4.49e-05 ,כה: 9.39e-05 ,כו: 0.0062824 ,כז: 0.000779 ,כח: 5.82e-05 ,כט: 0.0076403 ,כי: 0.0 ,כך: 0.0002634 ,ככ: 0.0002614 ,כל: 4.8e-05 ,כם: 0.000388 ,כמ: 0.0033102 ,כן: 0.0002256 ,כנ: 4.39e-05 ,כס: 0.000389 ,כע: 0.0001205 ,כף: 0.0013406 ,כפ: 4.8e-05 ,כץ: 1.23e-05 ,כצ: 7.1e-06 ,כק: 5.82e-05 ,כר: 3.1e-06 ,כש: 2e-06 ,כû: 0.0005085 ,כü: 0.0065478 ,כ‎: 3.06e-05 ,כ‏: 0.0007382 ,כÿ: 0.0032377 
לא: 0.0024331 ,לב: 0.0001715 ,לג: 0.0006912 ,לד: 0.0001052 ,לה: 0.00039 ,לו: 0.0067337 ,לז: 0.0001317 ,לח: 0.000145 ,לט: 0.0026965 ,לי: 1e-06 ,לך: 0.0006616 ,לכ: 0.0002154 ,לל: 0.0005299 ,לם: 0.0008097 ,למ: 0.006704 ,לן: 0.0011323 ,לנ: 0.0003053 ,לס: 0.0010813 ,לע: 0.0004615 ,לף: 0.0021196 ,לפ: 8.37e-05 ,לץ: 5.62e-05 ,לצ: 2.55e-05 ,לק: 0.0003768 ,לר: 1.43e-05 ,לש: 0.0 ,לû: 0.0016296 ,לü: 2.04e-05 ,ל‎: 0.0001542 ,ל‏: 5.1e-06 ,לÿ: 0.0005115 
םא: 0.0082958 ,םב: 9.39e-05 ,םג: 0.0002236 ,םד: 0.0002981 ,םה: 0.0004605 ,םו: 0.0074606 ,םז: 1.23e-05 ,םח: 5.62e-05 ,םט: 0.0108137 ,םי: 1e-06 ,םך: 0.0008771 ,םכ: 2.35e-05 ,םל: 6.74e-05 ,םם: 0.0054635 ,םמ: 0.0154379 ,םן: 0.0003002 ,םנ: 9.8e-05 ,םס: 0.0009342 ,םע: 0.0011987 ,םף: 0.001309 ,םפ: 3.06e-05 ,םץ: 4.59e-05 ,םצ: 0.0002767 ,םק: 0.0001368 ,םר: 7.1e-06 ,םש: 1.94e-05 ,םû: 0.0057606 ,םü: 0.0011895 ,ם‎: 2.45e-05 ,ם‏: 7.96e-05 ,םÿ: 0.0010016 
מא: 0.000195 ,מב: 0.0075147 ,מג: 0.0122268 ,מד: 0.0059424 ,מה: 0.0107718 ,מו: 0.0025801 ,מז: 0.0018011 ,מח: 0.0019553 ,מט: 0.0075045 ,מי: 0.005198 ,מך: 0.0033582 ,מכ: 0.0054594 ,מל: 0.0059025 ,מם: 0.0053471 ,ממ: 0.0024474 ,מן: 0.0043087 ,מנ: 0.0072697 ,מס: 0.0116683 ,מע: 0.0100305 ,מף: 0.0002716 ,מפ: 0.0003196 ,מץ: 0.0004952 ,מצ: 0.0009618 ,מק: 0.0041627 ,מר: 0.0006739 ,מש: 0.0001133 ,מû: 0.0 ,מü: 0.0 ,מ‎: 0.000633 ,מ‏: 0.0002052 ,מÿ: 0.0011752 
ןא: 0.0009679 ,ןב: 2e-06 ,ןג: 2.04e-05 ,ןד: 2e-06 ,ןה: 1.02e-05 ,ןו: 0.0023892 ,ןז: 0.0 ,ןח: 0.0 ,ןט: 0.0043475 ,ןי: 0.0 ,ןך: 0.0001389 ,ןכ: 0.00107 ,ןל: 5.1e-06 ,ןם: 0.0001521 ,ןמ: 0.008596 ,ןן: 6.84e-05 ,ןנ: 0.0141371 ,ןס: 1.84e-05 ,ןע: 3.68e-05 ,ןף: 0.0003829 ,ןפ: 1e-06 ,ןץ: 1e-06 ,ןצ: 3.17e-05 ,ןק: 2.35e-05 ,ןר: 2.14e-05 ,ןש: 2e-06 ,ןû: 5.82e-05 ,ןü: 3.1e-06 ,ן‎: 0.0 ,ן‏: 0.0 ,ןÿ: 0.000146 
נא: 0.0116724 ,נב: 3.78e-05 ,נג: 0.0006136 ,נד: 0.0002297 ,נה: 0.0001429 ,נו: 0.0092678 ,נז: 0.0004084 ,נח: 3.06e-05 ,נט: 0.0053716 ,ני: 0.0 ,נך: 0.0002042 ,נכ: 0.0001072 ,נל: 0.0017337 ,נם: 0.0009771 ,נמ: 0.0117959 ,נן: 0.0002144 ,ננ: 5.92e-05 ,נס: 0.000242 ,נע: 0.0003788 ,נף: 0.0036001 ,נפ: 0.0001021 ,נץ: 6.13e-05 ,נצ: 9.5e-05 ,נק: 3.68e-05 ,נר: 0.0004666 ,נש: 1.43e-05 ,נû: 0.0018358 ,נü: 0.0002716 ,נ‎: 1.74e-05 ,נ‏: 1.33e-05 ,נÿ: 0.0007913 
סא: 0.0019451 ,סב: 7.76e-05 ,סג: 0.0015867 ,סד: 3.37e-05 ,סה: 0.0003563 ,סו: 0.0019736 ,סז: 1.84e-05 ,סח: 3.17e-05 ,סט: 0.0019624 ,סי: 1e-06 ,סך: 0.0022585 ,סכ: 0.0037431 ,סל: 0.0006953 ,סם: 0.0011037 ,סמ: 0.0042413 ,סן: 0.0015744 ,סנ: 0.001507 ,סס: 0.0017592 ,סע: 0.0239481 ,סף: 0.0010374 ,ספ: 0.0001644 ,סץ: 0.0003859 ,סצ: 3.88e-05 ,סק: 0.0002798 ,סר: 0.0002216 ,סש: 2e-06 ,סû: 0.0003369 ,סü: 0.0009812 ,ס‎: 5.41e-05 ,ס‏: 0.0001634 ,סÿ: 0.0050051 
עא: 0.0110587 ,עב: 0.0003012 ,עג: 0.0078629 ,עד: 6.84e-05 ,עה: 0.0012211 ,עו: 0.0067765 ,עז: 8.68e-05 ,עח: 0.0002226 ,עט: 0.0061568 ,עי: 2e-06 ,עך: 0.0009342 ,עכ: 0.0003584 ,על: 0.0002369 ,עם: 0.0027282 ,עמ: 0.0195628 ,ען: 0.0011895 ,ענ: 0.004417 ,עס: 0.0049019 ,עע: 0.000727 ,עף: 0.0013008 ,עפ: 0.0001879 ,עץ: 6.53e-05 ,עצ: 3.68e-05 ,עק: 0.0003768 ,ער: 1.94e-05 ,עש: 1.02e-05 ,עû: 0.0009924 ,עü: 0.0056616 ,ע‎: 0.0001797 ,ע‏: 2.86e-05 ,עÿ: 0.0003911 
ףא: 0.0003492 ,ףב: 0.000241 ,ףג: 0.0005789 ,ףד: 0.0013141 ,ףה: 0.0022463 ,ףו: 0.0008189 ,ףז: 0.0007688 ,ףח: 0.000147 ,ףט: 0.0003277 ,ףי: 3.1e-06 ,ףך: 0.0017378 ,ףכ: 0.0003523 ,ףל: 0.0006841 ,ףם: 0.0010302 ,ףמ: 0.0003574 ,ףן: 0.00175 ,ףנ: 0.0005667 ,ףס: 0.0010568 ,ףע: 0.0011578 ,ףף: 6.94e-05 ,ףפ: 8.88e-05 ,ףץ: 0.0001613 ,ףצ: 2.45e-05 ,ףק: 0.0011823 ,ףר: 0.0001123 ,ףש: 0.0005789 ,ףû: 0.0 ,ףü: 0.0 ,ף‎: 0.0001082 ,ף‏: 0.0020308 ,ףÿ: 4.49e-05 
פא: 0.0004503 ,פב: 0.0 ,פג: 2e-06 ,פד: 0.0 ,פה: 0.0 ,פו: 0.0002175 ,פז: 0.0 ,פח: 0.0 ,פט: 0.0002757 ,פי: 0.0 ,פך: 5.1e-06 ,פכ: 9.2e-06 ,פל: 1e-06 ,פם: 2e-06 ,פמ: 0.0014774 ,פן: 2.35e-05 ,פנ: 6.84e-05 ,פס: 0.0007341 ,פע: 2e-06 ,פף: 0.0005534 ,פפ: 2.96e-05 ,פץ: 1.23e-05 ,פצ: 0.0 ,פק: 4.1e-06 ,פר: 0.0 ,פש: 0.0 ,פû: 3.1e-06 ,פü: 0.0 ,פ‎: 1.23e-05 ,פ‏: 0.0 ,פÿ: 2e-06 
ץא: 0.0002849 ,ץב: 6.43e-05 ,ץג: 0.0003859 ,ץד: 7.25e-05 ,ץה: 0.0003063 ,ץו: 8.88e-05 ,ץז: 6.94e-05 ,ץח: 0.0001154 ,ץט: 0.0003778 ,ץי: 0.0 ,ץך: 0.0003267 ,ץכ: 0.0002154 ,ץל: 0.000195 ,ץם: 0.0002706 ,ץמ: 0.0023974 ,ץן: 0.000779 ,ץנ: 0.000438 ,ץס: 0.0008107 ,ץע: 0.0002696 ,ץף: 0.0001644 ,ץפ: 0.0001674 ,ץץ: 2.76e-05 ,ץצ: 5.21e-05 ,ץק: 0.0001674 ,ץר: 1.53e-05 ,ץש: 0.0 ,ץû: 0.0 ,ץü: 0.0 ,ץ‎: 0.0001031 ,ץ‏: 1e-06 ,ץÿ: 1.53e-05 
צא: 0.000293 ,צב: 4.1e-06 ,צג: 2.65e-05 ,צד: 3.1e-06 ,צה: 2.14e-05 ,צו: 0.0016234 ,צז: 1e-06 ,צח: 3.1e-06 ,צט: 0.0012201 ,צי: 0.0 ,צך: 3.27e-05 ,צכ: 3.1e-06 ,צל: 8.2e-06 ,צם: 1.23e-05 ,צמ: 7.76e-05 ,צן: 1.63e-05 ,צנ: 1.33e-05 ,צס: 1.63e-05 ,צע: 1.84e-05 ,צף: 8.07e-05 ,צפ: 5.1e-06 ,צץ: 2e-06 ,צצ: 1e-06 ,צק: 5.1e-06 ,צר: 1e-06 ,צש: 0.0 ,צû: 8.47e-05 ,צü: 0.0 ,צ‎: 4.1e-06 ,צ‏: 0.0 ,צÿ: 2e-06 
