Буква,к-сть,Частота,Ентропія,Загальна Ентропія,Надлишковість
за,3128,0.006783248325873495,0.04886521839108826,4.143456816967816,0.16364702620267146
ам,2173,0.0047122757711391,0.03642287733325163,,
мн,1042,0.002259637070191874,0.019861516614579095,,
но,5415,0.011742739668991361,0.07529547014335537,,
ой,2046,0.00443686894972416,0.034679642956343126,,
йч,234,0.0005074424898511502,0.0055536881191263505,,
чи,817,0.0017717115991811526,0.016194578806410342,,
ит,2860,0.006202074875958503,0.04548002185090727,,
та,3211,0.006963238610735228,0.049898747698207305,,
ат,3252,0.007052149474341626,0.050406798521467254,,
те,3263,0.007076003608479928,0.05054282884331445,,
ел,3508,0.00760730023246938,0.0535432199826024,,
ль,1961,0.004252541549564554,0.033499221501840384,,
ьк,803,0.001741351792096041,0.01596049323015193,,
кт,464,0.0010062107491065544,0.010018691286164394,,
то,7439,0.016131900350438915,0.09604836339559475,,
ос,4093,0.008875906457097255,0.06049720047809504,,
ск,2194,0.004757815481766767,0.03670885380442174,,
ка,3907,0.008472554734395059,0.05831648606624988,,
аз,2533,0.005492956524756254,0.04124222393136192,,
ал,4907,0.010641112383331599,0.0697440555791034,,
лт,218,0.00047274556746816556,0.005222254089280518,,
еб,955,0.002070972554734395,0.018463705797923932,,
бе,1252,0.002715034176468547,0.02314516115733076,,
еч,793,0.0017196662156066756,0.015792822472811503,,
чт,1639,0.003554265986606988,0.028918334909824334,,
он,4090,0.008869400784150445,0.060462240789665715,,
не,4803,0.010415582387842199,0.06858778364937902,,
ет,3235,0.007015283994309705,0.05019634073413438,,
тн,1007,0.0021837375524790953,0.019302023044474138,,
на,5076,0.011007598626001874,0.07160835238127837,,
ас,3232,0.007008778321362895,0.05015917215335464,,
св,989,0.0021447035147982374,0.01901280966041373,,
ве,3061,0.0066379549633947465,0.04802590581194396,,
ен,4109,0.00891060337948024,0.060683536088198736,,
ст,5165,0.011200600256757226,0.07258302739160925,,
оя,483,0.0010474133444363484,0.010368295881009893,,
ящ,204,0.00044238576038305405,0.004929242383877053,,
ще,728,0.0015787099684258007,0.01469311387678573,,
ей,1074,0.002329030914957843,0.020369831302814546,,
йв,345,0.000748152388883106,0.007769098869668144,,
ер,3672,0.007962943686894972,0.05552148494472636,,
рн,582,0.0012621005516810658,0.012153974585194533,,
чн,454,0.0009845251726171888,0.00983371731054556,,
йл,84,0.0001821588425106693,0.0022628710172688526,,
лю,405,0.0008782658478192984,0.008917081172302199,,
юб,139,0.00030142951320217897,0.00352548694168228,,
бв,19,4.120259532979425e-05,0.0006001943026173004,,
ви,2000,0.0043371152978730785,0.034042228272554355,,
ид,1143,0.0024786613927344644,0.021455845967175525,,
да,2358,0.00511345893619236,0.038921014814994985,,
ао,567,0.0012295721869470177,0.01188704631573661,,
от,4259,0.009235887026820721,0.062421054260072696,,
тр,1519,0.0032940390687346034,0.02716240443927842,,
ре,3034,0.00657940390687346,0.04768638393007265,,
еж,487,0.0010560875750320947,0.010441595739480307,,
жу,116,0.0002515526872766386,0.0030077781960943756,,
ут,1005,0.002179400437181222,0.019269938265233724,,
тл,191,0.000414194510946879,0.0046544710313004755,,
лг,181,0.0003925089344575136,0.004441233445995238,,
гу,271,0.0005876791228618021,0.006307374161371866,,
ун,739,0.0016025641025641025,0.014880452273817705,,
ну,2084,0.004519274140383748,0.03520375908877445,,
уе,152,0.000329620762638354,0.003812692133023342,,
ег,1872,0.0040595399188092015,0.0322508851965832,,
го,4264,0.009246729815065404,0.06247868359499733,,
ог,2638,0.005720655077894591,0.04261661451474312,,
гн,240,0.0005204538357447694,0.00567708034630992,,
ус,946,0.002051455535893966,0.018317726297853294,,
сн,663,0.0014377537212449255,0.013575224215090392,,
ны,1718,0.0037255820408729746,0.03005918232433067,,
ый,904,0.0019603761146386317,0.017632904489730282,,
йя,45,9.758509420214428e-05,0.001300124226801947,,
яз,286,0.0006202074875958502,0.006608286862794886,,
зы,204,0.00044238576038305405,0.004929242383877053,,
ык,221,0.0004792512404149752,0.005284669982845299,,
кз,61,0.0001322820165851289,0.0017043341260759867,,
йм,214,0.00046407133687241943,0.005138831664268138,,
мо,1830,0.003968460497553867,0.03165722228778863,,
ьи,417,0.0009042885396065369,0.009143197399938581,,
ол,3722,0.0080713715693418,0.056120007874980705,,
ко,4887,0.010597741230352868,0.06952223571450408,,
оз,1112,0.0024114361056174318,0.020969587216605946,,
йи,295,0.0006397245064362791,0.0067876443836177676,,
ия,564,0.0012230665140002081,0.011833512719075972,,
яп,522,0.0011319870927448735,0.011078674788567592,,
по,4946,0.010725686131640124,0.07017587172909275,,
ок,2041,0.004426026161479477,0.034610516803061056,,
аж,658,0.0014269109330002428,0.013488430661500593,,
ак,2931,0.006356042469032997,0.04638420841151975,,
ку,1295,0.0028082821553728184,0.023803270240477115,,
ую,584,0.001266437666978939,0.01218947294735387,,
юл,47,0.00010192220950001735,0.0013515133589712056,,
бо,1106,0.0023984247597238126,0.020875162632428834,,
ов,5027,0.010901339301203983,0.07106965508688676,,
вь,358,0.0007763436383192811,0.008020419322014336,,
ьн,1298,0.002814787828319628,0.023849016386276546,,
тм,127,0.0002754068214149405,0.0032570018540127024,,
ма,2261,0.004903108844245515,0.03761708005672249,,
ро,4521,0.009804049130842095,0.06541660183999268,,
ош,503,0.0010907844974150792,0.010733775602319152,,
ши,952,0.0020644668817875853,0.018415075572574758,,
иб,696,0.0015093161236598314,0.014145143595171774,,
ба,582,0.0012621005516810658,0.012153974585194533,,
лс,1336,0.0028971930189792164,0.02442660657592096,,
ся,2024,0.004389160681447556,0.03437520067265995,,
як,475,0.0010300648832448562,0.010221384381506307,,
гд,511,0.0011081329586065717,0.010879265189115939,,
сг,73,0.00015830470837236736,0.001998598243536336,,
ор,3798,0.008236181950660976,0.05702574727997404,,
чь,157,0.00034046355088303667,0.003922212292656251,,
ью,196,0.00042503729919156173,0.004760470000310246,,
юг,56,0.0001214392283404462,0.0015796180728749102,,
во,3775,0.008186305124735435,0.05675214841338552,,
ри,3406,0.007386107352277853,0.05230080497215896,,
ил,3490,0.007568266194788522,0.053324652309016715,,
ли,3618,0.007845841573852399,0.05487268679704195,,
ив,2492,0.005404045661149856,0.04070189075370632,,
ва,3393,0.007357916102841678,0.05214177723882576,,
ан,3723,0.008073540126990736,0.05613195680458713,,
уш,415,0.0008999514243086638,0.009105587239797493,,
шк,229,0.0004965997016064675,0.005450494078850325,,
ке,496,0.0010756045938725236,0.010606145877702623,,
ев,2056,0.004458554526213525,0.034817780672432116,,
вб,122,0.0002645640331702578,0.0031441042189817156,,
ни,4028,0.008734950209916381,0.059738191758063795,,
иц,543,0.001177526803372541,0.011457364511046184,,
це,445,0.00096500815377676,0.009666651931282343,,
вт,426,0.0009238055584469657,0.009312073798370481,,
тч,268,0.0005811734499149926,0.006246884390122585,,
ча,1224,0.0026543145622983243,0.022714150694603058,,
оч,1339,0.002903698691926026,0.024472060508329417,,
ьп,515,0.0011168071892023177,0.010951862655990807,,
пе,1138,0.0024678186044897817,0.021377596945670405,,
ла,4378,0.00949394538704417,0.06378769747991177,,
сь,1907,0.00413543943652198,0.03274334931654564,,
ьч,263,0.0005703306616703099,0.006145834038369014,,
че,2006,0.004350126643766698,0.034125555424184655,,
ез,1084,0.0023507164914472085,0.020528063662593046,,
зп,101,0.00021902432254259046,0.0026625957425052845,,
лн,640,0.0013878768953193852,0.013174983072233493,,
оо,920,0.0019950730370216162,0.017894493824596003,,
ап,1549,0.0033590957982026996,0.02760407964720813,,
аб,657,0.0014247423753513064,0.013471057715586612,,
бы,1501,0.0032550050310537456,0.02689651185679052,,
ыл,1031,0.002235782936053572,0.01968607804306135,,
ае,853,0.0018497796745428681,0.016793096847701465,,
оэ,195,0.0004228687415426252,0.004739302460782641,,
эт,1336,0.0028971930189792164,0.02442660657592096,,
об,2137,0.004634207695777385,0.035931151324565716,,
ыт,410,0.0008891086360639811,0.009011429591565636,,
ть,2565,0.005562350369522223,0.04166250300203923,,
ем,2406,0.005217549703341313,0.03956161067683409,,
гл,837,0.0018150827521598834,0.016527687883625207,,
ло,3709,0.008043180319905625,0.0559645952167137,,
пр,3570,0.007741750806703446,0.054293861590307885,,
жд,411,0.0008912771937129177,0.009030276308536485,,
де,2132,0.004623364907532702,0.03586270670503137,,
вс,1547,0.0033547586829048262,0.027574691579148745,,
се,1727,0.0037450990597134035,0.03018842111711741,,
тк,594,0.0012881232434683043,0.012366644784643431,,
кр,1243,0.0026955171576281186,0.023006837862585443,,
ое,1130,0.0024504701432982896,0.021252255427352474,,
мт,179,0.00038817181915964054,0.004398381480166809,,
ай,290,0.0006288817181915964,0.006688109078597431,,
йн,507,0.0010994587280108254,0.01080656976218418,,
ук,731,0.0015852156413726102,0.014744257408720873,,
ру,1336,0.0028971930189792164,0.02442660657592096,,
юм,84,0.0001821588425106693,0.0022628710172688526,,
еп,1645,0.003567277332500607,0.029005392525664083,,
ож,1049,0.0022748169737344297,0.01997296994193092,,
же,1628,0.003530411852468686,0.028758550622966377,,
ры,716,0.0015526872766385622,0.01448815136739011,,
зл,202,0.00043804864508518093,0.0048871428399253885,,
бл,321,0.0006961070053086291,0.007301051001807357,,
ле,2562,0.0055558446965754136,0.04162315513959487,,
нн,1838,0.0039858089587453596,0.03177053134979744,,
юе,21,4.5539710627667326e-05,0.0006567971755725479,,
зв,661,0.0014334166059470526,0.013540521000099684,,
им,1636,0.003547760313660178,0.028874780348420073,,
ар,2954,0.006405919294958537,0.04667595366284052,,
рг,761,0.0016502723708407064,0.015253599759188599,,
га,1368,0.002966586863745186,0.024910371328873873,,
ою,239,0.0005182852780958329,0.0056565478853128105,,
юн,149,0.00032311508969154435,0.003746734094994512,,
ик,1902,0.004124596648277298,0.03267312121058686,,
вн,713,0.0015461816036917526,0.014436812834349295,,
ом,3441,0.007462006869990632,0.052728186634246624,,
йб,181,0.0003925089344575136,0.004441233445995238,,
су,414,0.0008977828666597272,0.00908677086070217,,
ущ,130,0.0002819124943617501,0.003324443211541482,,
йп,461,0.0009997050761597446,0.009963270559702446,,
ра,4168,0.009038548280767496,0.0613689698967814,,
ав,2268,0.004918288747788071,0.03771160776737031,,
вд,276,0.0005985219111064848,0.0064079601143253685,,
до,1810,0.003925089344575136,0.031373469891265215,,
йо,211,0.0004575656639256098,0.00507611157291462,,
оп,1828,0.003964123382255994,0.03162887794492992,,
пи,660,0.001431248048298116,0.013523162296553088,,
ис,2422,0.005252246625724298,0.03977447388116885,,
са,906,0.0019647132299365046,0.01766565128912885,,
юв,158,0.0003426321085319732,0.003944056026689187,,
си,1046,0.00226831130078762,0.019925222181856293,,
аи,806,0.0017478574650428506,0.016010718261101342,,
иу,326,0.0007069497935533118,0.007399010499551991,,
ум,652,0.0014138995871066237,0.013384121411997359,,
кэ,45,9.758509420214428e-05,0.001300124226801947,,
му,973,0.002110006592415253,0.01875487119898501,,
ад,1542,0.0033439158946601435,0.027501185995042608,,
од,2892,0.006271468720724472,0.04588821707062051,,
ье,669,0.0014507650671385449,0.013679220835314271,,
ещ,344,0.0007459838312341696,0.0077497037713329,,
ео,659,0.0014290794906491795,0.013505798852751097,,
дн,1162,0.0025198639880642587,0.021752570702742134,,
ув,751,0.001628586794351341,0.015084237449030416,,
жн,373,0.0008088720030533292,0.008308572211618546,,
ги,366,0.0007936920995107733,0.008174340442101927,,
ие,1007,0.0021837375524790953,0.019302023044474138,,
нщ,84,0.0001821588425106693,0.0022628710172688526,,
щи,527,0.0011428298809895562,0.011169074846601902,,
ин,2459,0.00533248325873495,0.04026545712466796,,
ыв,688,0.0014919676624683392,0.01400743988019746,,
оу,341,0.0007394781582873599,0.007691463801999023,,
уг,562,0.001218729398702335,0.01179779593539988,,
тд,174,0.00037732903091495785,0.004290943960622859,,
ыз,116,0.0002515526872766386,0.0030077781960943756,,
ып,318,0.0006896013323618195,0.007242158586699468,,
ме,1774,0.0038470212692134206,0.03086096803812067,,
