Біграма,к-сть.,Частота,Ентропія
за,3128,0.0057073105758581495,0.04253643283493577
ам,2173,0.0039648292459526085,0.03163349144106779
мн,1042,0.0019012204667660459,0.017184862675859187
но,5415,0.009880142828731418,0.06581412500079406
ой,2046,0.0037331065978918714,0.030109026250277594
йч,234,0.0004269535405213577,0.004779161364382827
чи,817,0.0014906882162647405,0.013997272771495484
ит,2860,0.005218321050816595,0.0395663464496366
та,3211,0.005858751361598631,0.043443760717351565
ат,3252,0.005933559460578869,0.043889865676994703
те,3263,0.005953629926158933,0.04400932015461629
ел,3508,0.006400653932260354,0.04664518142632008
ль,1961,0.003578016636591378,0.02907719654829401
ьк,803,0.001465143987344659,0.01379395238737795
кт,464,0.0008466087299226922,0.008640503102018403
то,7439,0.013573108495463162,0.08419541754098754
ос,4093,0.007468037783563748,0.052762098115743665
ск,2194,0.00400314558933273,0.031883654314672424
ка,3907,0.007128664456482669,0.050842721805482466
аз,2533,0.004621680846754697,0.035852072856848265
ал,4907,0.008953252236488471,0.0609123096334127
лт,218,0.0003977601360412649,0.004493024387890498
еб,955,0.0017424813299055412,0.01596921598846264
бе,1252,0.0022843839005672645,0.0200431367426419
еч,793,0.001446898109544601,0.013648330805568357
чт,1639,0.0029904993714295097,0.025076527060305404
он,4090,0.007462564020223731,0.05273131975281363
не,4803,0.008763495107367868,0.05989216108063998
ет,3235,0.00590254146831877,0.043705061443881525
тн,1007,0.0018373598944658428,0.016698202400934944
на,5076,0.009261607571309453,0.06255772890565235
ас,3232,0.005897067704978753,0.04367242455623489
св,989,0.0018045173144257383,0.016446679915030724
ве,3061,0.00558506319459776,0.041799789608746744
ен,4109,0.007497231188043841,0.05292615173250172
ст,5165,0.009423995883729969,0.06341826551984209
оя,483,0.0008812758977428025,0.008943292356546614
ящ,204,0.00037221590712118363,0.004240124553941951
ще,728,0.001328299903844224,0.012693504016419407
ей,1074,0.0019596072757262317,0.017627098032426545
йв,345,0.0006294827841020018,0.0066936337996067906
ер,3672,0.006699886328181305,0.04838421846425037
рн,582,0.001061910087963377,0.010490740019769986
чн,454,0.0008283628521226342,0.008480322884591706
йл,84,0.00015326537352048738,0.001942129858240059
лю,405,0.0007389580509023499,0.007686804150950616
юб,139,0.0002536177014208065,0.003029477883619305
бв,19,3.4667167820110244e-05,0.0005136312023177345
ви,2000,0.0036491755600116045,0.029551803604046183
ид,1143,0.0020855038325466317,0.018572221474138163
да,2358,0.004302377985253681,0.03381948753738547
ао,567,0.0010345412712632898,0.010259331724444853
от,4259,0.007770919355044712,0.05445626375336639
тр,1519,0.0027715488378288137,0.02354456195767771
ре,3034,0.0055357993245376035,0.04150184678785914
еж,487,0.0008885742488628257,0.009006784114849231
жу,116,0.00021165218248067304,0.002583430140465947
ут,1005,0.0018337107189058312,0.01667029756188625
тл,191,0.00034849626598110824,0.004003026468637402
лг,181,0.0003302503881810502,0.0038190657273782123
гу,271,0.0004944632883815724,0.005430121153247434
ун,739,0.0013483703694242878,0.012856128241934791
ну,2084,0.0038024409335320917,0.03056728441818628
уе,152,0.00027733734256088195,0.00327703759085923
ег,1872,0.0034156283241708616,0.027986405942550037
го,4264,0.00778004229394474,0.05450702522167007
ог,2638,0.004813262563655306,0.03705619738474288
гн,240,0.00043790106720139254,0.0048857092433777045
ус,946,0.001726060039885489,0.015842299688011326
сн,663,0.0012097016981438469,0.011723379985684818
ны,1718,0.003134641806049968,0.02607233209034787
ый,904,0.0016494273531252452,0.01524700798342877
йя,45,8.21064501002611e-05,0.0011143606390581174
яз,286,0.0005218321050816595,0.005690123375648639
зы,204,0.00037221590712118363,0.004240124553941951
ык,221,0.0004032338993812823,0.004546903938100507
кз,61,0.00011129985458035393,0.0014617300029408046
йм,214,0.00039046178492124165,0.004421015673064343
мо,1830,0.003338995637410618,0.02746781379623611
ьи,417,0.0007608531042624195,0.007882510012044694
ол,3722,0.006791115717181596,0.04891053674130142
ко,4887,0.008916760480888354,0.06071658166885056
оз,1112,0.002028941611366452,0.018148998234855083
йи,295,0.0005382533951017117,0.005845123379023506
ия,564,0.0010290675079232725,0.010212925588832621
яп,522,0.0009524348211630288,0.009558723501410866
по,4946,0.009024411159908697,0.06129336277883886
ок,2041,0.003723983658991842,0.030048591553183228
аж,658,0.0012005787592438179,0.011648080236364718
ак,2931,0.005347866783197006,0.040359392043527245
ку,1295,0.0023628411751075136,0.020616407435438616
ую,584,0.0010655592635233884,0.010521516989833024
юл,47,8.57556256602727e-05,0.001158507834620677
бо,1106,0.002017994084686417,0.018066823241437435
ов,5027,0.009172202770089167,0.062082201532037855
вь,358,0.0006532024252420772,0.0069110006935309875
ьн,1298,0.0023683149384475313,0.020656261341422216
тм,127,0.00023172264806073687,0.0027981235792812766
ма,2261,0.004125392970593118,0.03267828034153924
ро,4521,0.008248961353406232,0.05709577834139689
ош,503,0.0009177676533429185,0.009259893298204324
ши,952,0.0017370075665655237,0.015926935466656487
иб,696,0.0012699130948840382,0.012217903113345694
ба,582,0.001061910087963377,0.010490740019769986
лс,1336,0.0024376492740877517,0.021159511677921017
ся,2024,0.0036929656667317435,0.029842871930056903
як,475,0.000866679195502756,0.008816046511358908
гд,511,0.000932364355582965,0.00938594277005589
сг,73,0.00013319490794042355,0.001714774347550399
ор,3798,0.0069297843884620364,0.04970716199145495
чь,157,0.00028646028146091094,0.0033714591226634643
ью,196,0.0003576192048811372,0.004094485330122403
юг,56,0.00010217691568032492,0.0013545229029390436
во,3775,0.006887818869521904,0.04946650417760295
ри,3406,0.006214545978699762,0.04555346278803313
ил,3490,0.00636781135222025,0.04645309904804002
ли,3618,0.006601358588060992,0.047813780972993825
ив,2492,0.004546872747774459,0.035378806069448786
