Буква,к-сть,Частота,Ентропія,Загальна Ентропія,Надлишковість
за,1573,0.006822282363554353,0.049089936170992235,4.143254433060142,0.16368787720957423
мн,530,0.0022986711078727315,0.02014781599565271,,
ой,1025,0.004445543180319905,0.03473491635040847,,
чи,407,0.001765205926234343,0.016144481237717532,,
та,1608,0.006974081398979911,0.04996079238915109,,
те,1616,0.007008778321362895,0.05015917215335464,,
ль,973,0.004220013184830506,0.03328972921313951,,
кт,234,0.0010148849797023004,0.0100924912585504,,
ос,2079,0.009016862704278131,0.06125297959813119,,
ка,1991,0.0086351965580653,0.05919906724771088,,
лт,110,0.0004770826827660387,0.0052638789274453155,,
еб,472,0.0020471184205960932,0.018285250119536,,
еч,394,0.001708823427361993,0.015708839456036815,,
то,3691,0.016008292564449533,0.09549005346390418,,
не,2369,0.010274626140661323,0.06786154547231528,,
тн,537,0.002329030914957843,0.020369831302814546,,
ас,1599,0.006935047361299053,0.0497373174104619,,
ве,1556,0.00674855140349051,0.04866519726068906,,
на,2528,0.010964227473023143,0.07138865548893826,,
ст,2591,0.011237465736789147,0.07276865295313373,,
оя,245,0.0010625932479789043,0.010496503132834687,,
ще,365,0.0015830470837236738,0.014727213852412184,,
йв,171,0.0007416467159362965,0.007710886264091062,,
ер,1823,0.007906561188022623,0.05520941305326398,,
но,2698,0.011701537073661566,0.07509061388346273,,
йл,48,0.00020818153429790777,0.0025460331575491296,,
юб,73,0.0003166094167447347,0.0036805870703279374,,
ви,978,0.004241698761319871,0.0334294307599447,,
да,1234,0.005352000277575379,0.0403846211088355,,
от,2127,0.009225044238576039,0.06236340656069583,,
ре,1481,0.00642326775615003,0.046777298720866105,,
жу,61,0.0002645640331702578,0.0031441042189817156,,
тл,93,0.0004033517227021963,0.004548062517160813,,
гу,121,0.0005247909510426426,0.005718106215189404,,
ну,1076,0.004666736060511433,0.03613626592435252,,
ег,928,0.004024842996426217,0.03202507915180514,,
ог,1294,0.005612227195447764,0.04196380619641305,,
сн,307,0.001331494396447035,0.012719417021377352,,
ый,461,0.001999410152319489,0.0179271309670854,,
яз,159,0.0006896013323618195,0.007242158586699468,,
ык,107,0.00046407133687241943,0.005138831664268138,,
мо,899,0.0038990666527878976,0.03120288706705641,,
йч,114,0.0004944311439575309,0.005429814521131194,,
ит,1434,0.0062194233371499945,0.04558217518396097,,
ат,1622,0.007034801013150134,0.0503077942853267,,
ел,1757,0.007620311578362999,0.0536160115880306,,
ьи,207,0.0008977828666597272,0.00908677086070217,,
ко,2478,0.01074737170812949,0.07028643854112628,,
ия,285,0.0012360778598938275,0.011940530252366088,,
по,2503,0.010855799590576316,0.0708383282324179,,
бе,620,0.002689011484681309,0.02296068486518155,,
ку,649,0.002814787828319628,0.023849016386276546,,
юл,22,9.541653655320773e-05,0.0012743261224288029,,
ов,2494,0.010816765552895458,0.07063982875250577,,
ьн,658,0.0028538218660004856,0.0241230394570007,,
ет,1650,0.00715624024149058,0.05099953621228494,,
ма,1140,0.00494431143957531,0.03787349813031374,,
ош,252,0.0010929530550640159,0.010751983441224012,,
иб,367,0.0015917213143194198,0.014795362421934627,,
ал,2383,0.010335345754831547,0.0681747263550779,,
ся,963,0.004176642031851775,0.033009842979571484,,
гд,246,0.0010669303632767774,0.010533076115708221,,
го,2193,0.009511293848235661,0.06387920652129622,,
чь,83,0.00035998056972346554,0.004118103324650005,,
юг,29,0.0001257763436383193,0.0016296654416855072,,
ор,1874,0.008127754068214149,0.05643040752075059,,
ил,1725,0.00748152388883106,0.052837904297802586,,
ив,1250,0.005421394122341348,0.040807486259254046,,
ан,1841,0.007984629263384339,0.05564135901041466,,
уш,218,0.0009454911349363311,0.009499017043624705,,
ке,243,0.001053919017383158,0.010423280444228324,,
вб,59,0.00025588980257451165,0.0030533256726655348,,
ол,1829,0.00793258387980986,0.055353518063443144,,
иц,267,0.001158009784532112,0.011295385901914687,,
ев,1017,0.004410846257936921,0.03451367578721447,,
тч,146,0.0006332188334894695,0.006727955307166405,,
оч,659,0.002858158981298359,0.024153438724203835,,
ьп,236,0.0010235592102980466,0.010166184270066046,,
ьч,127,0.000550813642829881,0.0059631900651955245,,
ез,534,0.002316019569064224,0.020274752234765152,,
лн,313,0.0013575170882342735,0.012930097666899653,,
он,2021,0.008765310017001492,0.05990194604522974,,
ап,773,0.0033525901252558898,0.02755999451225489,,
оз,530,0.0022986711078727315,0.02014781599565271,,
аб,320,0.0013878768953193852,0.013174983072233493,,
ыл,497,0.00215554630304292,0.01909324873151833,,
ае,415,0.0017999028486173276,0.016411271630977657,,
эт,652,0.0028277991742132473,0.02394044364978147,,
