Буква,к-сть,Частота,Ентропія,Загальна Ентропія,Надлишковість
за,1549,0.005652562628861277,0.042207002393211436,3.9827166848356628,0.20345666303286747
 м,1773,0.006469976462860584,0.04704982295805222,,
но,2633,0.009608261718393636,0.06438985080124822,,
й ,2023,0.007382268688306238,0.052279160089663414,,
чи,383,0.001397631689382743,0.01325346186764512,,
та,1625,0.005929899465396756,0.04386807173621624,,
те,1627,0.005937197803200321,0.04391152745646875,,
ль,977,0.0035652380170416186,0.0289917522005723,,
 к,2694,0.009830861021402376,0.06555676744886088,,
то,3564,0.013005637965953254,0.08147666753507105,,
 с,4048,0.014771835714416042,0.08982763737225355,,
ка,1952,0.0071231776962796724,0.0508115020698367,,
л ,2131,0.007776378929698761,0.05448664354167443,,
бе,611,0.00222964219898918,0.019640855861220243,,
 ч,1348,0.00491907967960297,0.03771653117302749,,
 н,4175,0.015235280164942435,0.09196685702839935,,
ет,1431,0.005221960698450928,0.03958869024840016,,
а ,4911,0.017921068476654443,0.10398161517336536,,
св,431,0.0015727917966683088,0.014646555319986047,,
е ,4384,0.015997956465415002,0.09544330527701148,,
на,2565,0.009360118233072418,0.0630802472953617,,
ст,2480,0.009049938876420895,0.06142986504051166,,
оя,145,0.0005291294907584798,0.005759093820120479,,
ще,350,0.0012772091156239168,0.012277542414142107,,
ве,1486,0.005422664988048971,0.04081521853190376,,
рн,259,0.0009451347455616984,0.00949595058913546,,
ой,1047,0.003820679840166402,0.030687528220046837,,
 в,4512,0.016465050084843176,0.0975463542737283,,
еч,275,0.0010035214479902203,0.0099957889654924,,
лю,200,0.0007298337803565238,0.007604973417221665,,
бв,4,1.4596675607130476e-05,0.00023448100631987042,,
и ,4424,0.016143923221486306,0.09610259504747605,,
да,1128,0.004116262521210794,0.032619113610853664,,
 о,2668,0.009735982629956027,0.06506029200043402,,
тр,719,0.002623752440381703,0.022496454021706174,,
еж,175,0.0006386045578119584,0.0067773757648830115,,
ут,445,0.0016238801612932655,0.015047424258065151,,
 л,780,0.002846351743390443,0.02407065833128656,,
гу,142,0.0005181819840531319,0.005655569544598562,,
ну,988,0.0036053788749612274,0.02925993325381853,,
 е,793,0.002893790939113617,0.024402828484346408,,
го,2077,0.007579323809002499,0.053386597871040824,,
 г,1329,0.0048497454704691,0.03728423818305358,,
сн,231,0.000842958016311785,0.008608499351066046,,
ый,474,0.0017297060594449614,0.015870498309324754,,
 я,444,0.0016202309923914829,0.015018868539648745,,
зы,116,0.00042330359260678383,0.0047435483752232615,,
к ,1115,0.00406882332548762,0.03231122849746661,,
мо,803,0.002930282628131443,0.024657579523607868,,
