Монограма,к-сть.,Частота,Ентропія
з,8298,0.017994652348434413,0.10430218674623072
а,40412,0.08763556166605586,0.3078058684530307
м,13893,0.03012770608300787,0.15222822964680027
н,29234,0.0633954768322646,0.2522807962983336
о,51247,0.11113183283926469,0.35224967745136554
й,5220,0.011319846379709285,0.07318282733504568
ч,7150,0.015505153566076893,0.09320315845700454
и,30990,0.06720345580597523,0.2617790170218214
т,27982,0.060680448543491416,0.2453082643060375
е,37479,0.08127519587454488,0.2943008215786488
л,24261,0.05261126303029252,0.22351813575868307
ь,8640,0.018736297456070538,0.10750925523448805
к,16813,0.036459880686216896,0.17418876987793525
с,23145,0.050191157942216735,0.21664626650031066
б,7104,0.015405400130546887,0.09274697959656021
в,21527,0.04668243927509612,0.20638195496819853
я,8841,0.019172176598277735,0.10937423935768399
щ,1664,0.003608472102650622,0.029280572257766455
р,22203,0.04814838106679794,0.2107150774778951
ю,2531,0.00548860750709659,0.04121584245256298
д,13103,0.028414549255427347,0.14597197143988072
ж,4160,0.009021180256626555,0.06127607901413831
у,13698,0.0297048382584785,0.1506973454727554
г,9139,0.019818405376276466,0.11211302252158162
ы,8030,0.017413480158824816,0.101758311699596
п,12855,0.02787674812474384,0.14397765899689066
ш,3973,0.00861566085566762,0.059093291316253134
ц,1474,0.003196447042852775,0.02649635671462395
э,1414,0.0030663338660745073,0.025601647814907164
х,3760,0.008153759078104771,0.05657338116617778
ф,897,0.001945191992835101,0.017518149571185658
