Буква,к-сть,Частота,Ентропія,Загальна Ентропія,Надлишковість
з,8298,0.015140401773496086,0.09153058277831647,4.374552813221424,0.1250894373557152
а,40412,0.0737351068294196,0.2773549368502682,,
 ,86933,0.1586166000693342,0.4213466509414755,,
м,13893,0.02534895177623296,0.13439837040790006,,
н,29234,0.05333990183735654,0.2255552969073216,,
о,51247,0.09350447935482693,0.31967505053926026,,
й,5220,0.009524330833652636,0.0639479434969126,,
ч,7150,0.013045778823872863,0.08167013843745806,,
и,30990,0.05654387213312168,0.23434525857911526,,
т,27982,0.05105552210484062,0.2191195373510755,,
е,37479,0.06838360063495538,0.26465860794455476,,
л,24261,0.04426624336307406,0.1990940360355184,,
ь,8640,0.015764409655700914,0.09438443772859433,,
к,16813,0.030676738372835587,0.15420310097477202,,
с,23145,0.04223000711587936,0.19280480103962588,,
б,7104,0.012961847939131863,0.08126540449979437,,
в,21527,0.03927782947433722,0.1834330011298759,,
я,8841,0.016131151130330066,0.09604498345521165,,
щ,1664,0.003036108526283139,0.025392678630155537,,
р,22203,0.04051124856313974,0.18738614302615067,,
ю,2531,0.004618023245205904,0.03582897421561501,,
д,13103,0.02390753006002883,0.12877530713956198,,
ж,4160,0.007590271315707848,0.053447903675336986,,
у,13698,0.024993157808309158,0.13302165856507958,,
г,9139,0.016674877296695676,0.09848482753427669,,
ы,8030,0.014651413140657215,0.08926836981694547,,
п,12855,0.023455033116207783,0.12698457947233183,,
ш,3973,0.007249074023391173,0.05152632800608559,,
ц,1474,0.0026894374806137903,0.022963707689316822,,
э,1414,0.0025799624135603117,0.022183637146690256,,
х,3760,0.006860437535351324,0.04930928292694244,,
ф,897,0.0016366522524495046,0.015147276279885876,,
